"x","y","NVC_Class","CDL_Class","CDLYear","State","ncells_tile"
1019100,1131330,7978,37,"2017","AL",1198509
1019130,1131330,7978,37,"2017","AL",1198509
1019100,1131300,7978,37,"2017","AL",1198509
1019130,1131300,7978,37,"2017","AL",1198509
1019130,1131270,7978,37,"2017","AL",1198509
1019160,1131270,7978,37,"2017","AL",1198509
1019130,1131240,7978,37,"2017","AL",1198509
1019160,1131240,7978,37,"2017","AL",1198509
1019160,1131210,7978,37,"2017","AL",1198509
1019190,1131210,7978,37,"2017","AL",1198509
1030680,1131000,7974,37,"2017","AL",1198509
1016610,1129950,7974,141,"2017","AL",1198509
1025580,1129860,7974,37,"2017","AL",1198509
1025610,1129860,7974,37,"2017","AL",1198509
1029210,1129170,7974,176,"2017","AL",1198509
1029210,1129140,7974,176,"2017","AL",1198509
1024950,1129020,7974,176,"2017","AL",1198509
1024920,1128990,7974,176,"2017","AL",1198509
1021020,1128450,7978,37,"2017","AL",1198509
1023510,1128420,7974,37,"2017","AL",1198509
1023540,1128390,7974,37,"2017","AL",1198509
1021140,1128210,7974,176,"2017","AL",1198509
1041450,1128180,7978,141,"2017","AL",1198509
1041480,1128180,7978,141,"2017","AL",1198509
1041510,1128180,7978,152,"2017","AL",1198509
1041540,1128180,7978,37,"2017","AL",1198509
1041570,1128180,7978,37,"2017","AL",1198509
1041450,1128150,7978,37,"2017","AL",1198509
1041480,1128150,7978,37,"2017","AL",1198509
1041510,1128150,7978,37,"2017","AL",1198509
1041540,1128150,7978,37,"2017","AL",1198509
1041570,1128150,7978,61,"2017","AL",1198509
1041450,1128120,7978,37,"2017","AL",1198509
1041480,1128120,7978,37,"2017","AL",1198509
1041510,1128120,7978,37,"2017","AL",1198509
1041540,1128120,7978,37,"2017","AL",1198509
1041450,1128090,7978,37,"2017","AL",1198509
1041480,1128090,7978,37,"2017","AL",1198509
1041510,1128090,7978,37,"2017","AL",1198509
1041540,1128090,7978,67,"2017","AL",1198509
1041600,1128090,7978,37,"2017","AL",1198509
1041450,1128060,7978,37,"2017","AL",1198509
1041480,1128060,7978,37,"2017","AL",1198509
1041510,1128060,7978,37,"2017","AL",1198509
1041540,1128060,7978,37,"2017","AL",1198509
1041570,1128060,7978,121,"2017","AL",1198509
1041600,1128060,7978,37,"2017","AL",1198509
1041450,1128030,7978,37,"2017","AL",1198509
1041480,1128030,7978,37,"2017","AL",1198509
1041510,1128030,7978,37,"2017","AL",1198509
1041540,1128030,7978,37,"2017","AL",1198509
1041570,1128030,7978,121,"2017","AL",1198509
1041600,1128030,7978,37,"2017","AL",1198509
1041630,1128030,7978,121,"2017","AL",1198509
1041480,1128000,7978,37,"2017","AL",1198509
1041510,1128000,7978,37,"2017","AL",1198509
1041540,1128000,7978,37,"2017","AL",1198509
1041570,1128000,7978,67,"2017","AL",1198509
1041630,1128000,7978,37,"2017","AL",1198509
1041510,1127970,7978,37,"2017","AL",1198509
1041540,1127970,7978,37,"2017","AL",1198509
1041570,1127970,7978,67,"2017","AL",1198509
1041630,1127970,7978,37,"2017","AL",1198509
1041660,1127970,7978,37,"2017","AL",1198509
1041510,1127940,7978,37,"2017","AL",1198509
1041540,1127940,7978,37,"2017","AL",1198509
1041570,1127940,7978,1,"2017","AL",1198509
1041600,1127940,7978,67,"2017","AL",1198509
1041630,1127940,7978,37,"2017","AL",1198509
1041660,1127940,7978,37,"2017","AL",1198509
1041480,1127910,7978,37,"2017","AL",1198509
1041540,1127910,7978,67,"2017","AL",1198509
1041600,1127910,7978,67,"2017","AL",1198509
1041630,1127910,7978,37,"2017","AL",1198509
1041660,1127910,7978,37,"2017","AL",1198509
1041690,1127910,7978,122,"2017","AL",1198509
1041510,1127880,7978,37,"2017","AL",1198509
1041570,1127880,7978,37,"2017","AL",1198509
1041600,1127880,7978,67,"2017","AL",1198509
1041630,1127880,7978,67,"2017","AL",1198509
1041660,1127880,7978,37,"2017","AL",1198509
1041690,1127880,7978,37,"2017","AL",1198509
1041570,1127850,7978,37,"2017","AL",1198509
1041600,1127850,7978,37,"2017","AL",1198509
1041630,1127850,7978,37,"2017","AL",1198509
1041660,1127850,7978,37,"2017","AL",1198509
1041690,1127850,7978,37,"2017","AL",1198509
1041720,1127850,7978,121,"2017","AL",1198509
1041660,1127820,7978,37,"2017","AL",1198509
1041690,1127820,7978,37,"2017","AL",1198509
1041720,1127820,7978,152,"2017","AL",1198509
1041630,1127730,7978,61,"2017","AL",1198509
1041630,1127700,7978,61,"2017","AL",1198509
1026750,1127370,7974,176,"2017","AL",1198509
1040910,1127190,7978,176,"2017","AL",1198509
1040940,1127190,7978,176,"2017","AL",1198509
1040970,1127190,7978,141,"2017","AL",1198509
1040970,1127160,7978,67,"2017","AL",1198509
1041000,1127160,7978,67,"2017","AL",1198509
1040880,1127130,7978,152,"2017","AL",1198509
1040850,1127100,7978,142,"2017","AL",1198509
1040850,1127070,7978,176,"2017","AL",1198509
1040880,1127070,7978,37,"2017","AL",1198509
1040850,1127040,7978,1,"2017","AL",1198509
1040880,1127040,7978,176,"2017","AL",1198509
1040880,1127010,7978,37,"2017","AL",1198509
1040880,1126980,7978,152,"2017","AL",1198509
1039140,1125030,7974,152,"2017","AL",1198509
1022520,1123710,7974,37,"2017","AL",1198509
1042590,1123710,7978,37,"2017","AL",1198509
