"","NVC_Class","NCells","State"
"1",-9999,42169249,"Washington"
"2",6016,1001,"Washington"
"3",6059,13791291,"Washington"
"4",6060,6420155,"Washington"
"5",6064,4919283,"Washington"
"6",6065,7916159,"Washington"
"7",6068,1673194,"Washington"
"8",6069,748132,"Washington"
"9",6070,244811,"Washington"
"10",6071,2516605,"Washington"
"11",6072,145239,"Washington"
"12",6080,30,"Washington"
"13",6082,23643,"Washington"
"14",6085,115300,"Washington"
"15",6087,1983434,"Washington"
"16",6088,5039134,"Washington"
"17",6089,14347466,"Washington"
"18",6090,23880284,"Washington"
"19",6091,5764845,"Washington"
"20",6092,10090933,"Washington"
"21",6094,3462376,"Washington"
"22",6095,22925,"Washington"
"23",6096,6763,"Washington"
"24",6117,300221,"Washington"
"25",6118,20515,"Washington"
"26",6122,2587575,"Washington"
"27",6125,2189800,"Washington"
"28",6144,1510209,"Washington"
"29",6145,9353160,"Washington"
"30",6146,339518,"Washington"
"31",6147,1746762,"Washington"
"32",6149,1764834,"Washington"
"33",6154,64967,"Washington"
"34",6181,1713081,"Washington"
"35",6202,24519,"Washington"
"36",6239,2506,"Washington"
"37",6240,337913,"Washington"
"38",6242,179730,"Washington"
"39",6243,124880,"Washington"
"40",6245,537382,"Washington"
"41",6246,7275,"Washington"
"42",6257,183718,"Washington"
"43",6259,343158,"Washington"
"44",6281,1012658,"Washington"
"45",6282,1244711,"Washington"
"46",6284,3671120,"Washington"
"47",6285,81049,"Washington"
"48",6286,3928156,"Washington"
"49",6287,8783573,"Washington"
"50",6288,978655,"Washington"
"51",6295,259382,"Washington"
"52",6296,260844,"Washington"
"53",6313,165643,"Washington"
"54",6315,1488358,"Washington"
"55",6320,846936,"Washington"
"56",6323,1872554,"Washington"
"57",6330,1180615,"Washington"
"58",6333,386922,"Washington"
"59",6388,181807,"Washington"
"60",6389,231608,"Washington"
"61",6482,4135,"Washington"
"62",6522,99274,"Washington"
"63",6525,26644,"Washington"
"64",6602,34159,"Washington"
"65",6603,76223,"Washington"
"66",6684,54288,"Washington"
"67",6731,4975,"Washington"
"68",7191,2092205,"Washington"
"69",7192,845109,"Washington"
"70",7193,1664410,"Washington"
"71",7195,1725969,"Washington"
"72",7196,1020813,"Washington"
"73",7197,268177,"Washington"
"74",7198,30720,"Washington"
"75",7199,7971,"Washington"
"76",7200,91339,"Washington"
"77",7292,15413867,"Washington"
"78",7295,28978,"Washington"
"79",7296,3082567,"Washington"
"80",7297,1407844,"Washington"
"81",7298,543106,"Washington"
"82",7299,4884247,"Washington"
"83",7735,601146,"Washington"
"84",7900,1341688,"Washington"
"85",7901,1644469,"Washington"
"86",7902,453541,"Washington"
"87",7903,799003,"Washington"
"88",7904,603237,"Washington"
"89",7920,625725,"Washington"
"90",7921,889962,"Washington"
"91",7922,124184,"Washington"
"92",7923,305225,"Washington"
