"layer","Class","NCells","label","State","County"
1,6006,3961,NA,"AL","Autauga County"
1,6012,13125,NA,"AL","Autauga County"
1,6014,846,NA,"AL","Autauga County"
1,6015,4054,NA,"AL","Autauga County"
1,6055,1160,NA,"AL","Autauga County"
1,6056,29764,NA,"AL","Autauga County"
1,6108,66,NA,"AL","Autauga County"
1,6109,140,NA,"AL","Autauga County"
1,6111,5335,NA,"AL","Autauga County"
1,6112,36165,NA,"AL","Autauga County"
1,6113,73467,NA,"AL","Autauga County"
1,6186,72,NA,"AL","Autauga County"
1,6222,100,NA,"AL","Autauga County"
1,6356,699,NA,"AL","Autauga County"
1,6357,404,NA,"AL","Autauga County"
1,6414,1687,NA,"AL","Autauga County"
1,6415,42,NA,"AL","Autauga County"
1,6511,3,NA,"AL","Autauga County"
1,6512,2,NA,"AL","Autauga County"
1,6513,2281,NA,"AL","Autauga County"
1,6586,591,NA,"AL","Autauga County"
1,7191,32883,NA,"AL","Autauga County"
1,7192,4165,NA,"AL","Autauga County"
1,7193,4485,NA,"AL","Autauga County"
1,7195,1556,NA,"AL","Autauga County"
1,7196,175,NA,"AL","Autauga County"
1,7197,16,NA,"AL","Autauga County"
1,7198,514,NA,"AL","Autauga County"
1,7199,76,NA,"AL","Autauga County"
1,7200,1306,NA,"AL","Autauga County"
1,7292,24029,NA,"AL","Autauga County"
1,7295,1368,NA,"AL","Autauga County"
1,7296,16371,NA,"AL","Autauga County"
1,7297,6060,NA,"AL","Autauga County"
1,7298,1794,NA,"AL","Autauga County"
1,7299,61619,NA,"AL","Autauga County"
1,7915,2963,NA,"AL","Autauga County"
1,7916,6400,NA,"AL","Autauga County"
1,7917,9018,NA,"AL","Autauga County"
1,7918,11348,NA,"AL","Autauga County"
1,7919,11473,NA,"AL","Autauga County"
1,7935,728,NA,"AL","Autauga County"
1,7936,5572,NA,"AL","Autauga County"
1,7937,188009,NA,"AL","Autauga County"
1,7938,2663,NA,"AL","Autauga County"
1,7939,26566,NA,"AL","Autauga County"
1,7954,7,NA,"AL","Autauga County"
1,7957,1584,NA,"AL","Autauga County"
1,7959,20,NA,"AL","Autauga County"
1,7990,1946,NA,"AL","Autauga County"
1,7993,101,NA,"AL","Autauga County"
1,7994,61613,NA,"AL","Autauga County"
1,7995,1610,NA,"AL","Autauga County"
1,7996,4151,NA,"AL","Autauga County"
1,7997,165758,NA,"AL","Autauga County"
1,7998,771,NA,"AL","Autauga County"
1,9319,3510,NA,"AL","Autauga County"
1,9320,1410,NA,"AL","Autauga County"
1,9321,383621,NA,"AL","Autauga County"
1,9322,465883,NA,"AL","Autauga County"
1,9323,3470,NA,"AL","Autauga County"
1,9324,43,NA,"AL","Autauga County"
1,9823,48776,NA,"AL","Autauga County"
1,6006,262899,NA,"AL","Baldwin County"
1,6007,58222,NA,"AL","Baldwin County"
1,6009,120439,NA,"AL","Baldwin County"
1,6012,221573,NA,"AL","Baldwin County"
1,6013,11820,NA,"AL","Baldwin County"
1,6014,51195,NA,"AL","Baldwin County"
1,6108,1282,NA,"AL","Baldwin County"
1,6109,9706,NA,"AL","Baldwin County"
1,6110,1191,NA,"AL","Baldwin County"
1,6111,148393,NA,"AL","Baldwin County"
1,6112,475745,NA,"AL","Baldwin County"
1,6113,192495,NA,"AL","Baldwin County"
1,6195,2337,NA,"AL","Baldwin County"
1,6220,33563,NA,"AL","Baldwin County"
1,6221,141,NA,"AL","Baldwin County"
1,6222,11273,NA,"AL","Baldwin County"
1,6223,1107,NA,"AL","Baldwin County"
1,6224,20,NA,"AL","Baldwin County"
1,6253,92,NA,"AL","Baldwin County"
1,6254,8714,NA,"AL","Baldwin County"
1,6255,80,NA,"AL","Baldwin County"
1,6256,145,NA,"AL","Baldwin County"
1,6310,25,NA,"AL","Baldwin County"
1,6414,2161,NA,"AL","Baldwin County"
1,6415,483,NA,"AL","Baldwin County"
1,6510,1,NA,"AL","Baldwin County"
1,6511,129,NA,"AL","Baldwin County"
1,6512,11,NA,"AL","Baldwin County"
1,6513,3632,NA,"AL","Baldwin County"
1,6514,30,NA,"AL","Baldwin County"
1,6591,7006,NA,"AL","Baldwin County"
1,7191,95991,NA,"AL","Baldwin County"
1,7192,15036,NA,"AL","Baldwin County"
1,7193,11700,NA,"AL","Baldwin County"
1,7195,5464,NA,"AL","Baldwin County"
1,7196,849,NA,"AL","Baldwin County"
1,7197,396,NA,"AL","Baldwin County"
1,7198,601,NA,"AL","Baldwin County"
1,7199,298,NA,"AL","Baldwin County"
1,7200,1076,NA,"AL","Baldwin County"
1,7292,210234,NA,"AL","Baldwin County"
1,7295,1162,NA,"AL","Baldwin County"
1,7296,75729,NA,"AL","Baldwin County"
1,7297,33036,NA,"AL","Baldwin County"
1,7298,9357,NA,"AL","Baldwin County"
1,7299,124653,NA,"AL","Baldwin County"
1,7915,1726,NA,"AL","Baldwin County"
1,7916,51278,NA,"AL","Baldwin County"
1,7917,17668,NA,"AL","Baldwin County"
1,7918,64859,NA,"AL","Baldwin County"
1,7919,44648,NA,"AL","Baldwin County"
1,7935,41710,NA,"AL","Baldwin County"
1,7936,45794,NA,"AL","Baldwin County"
1,7937,80275,NA,"AL","Baldwin County"
1,7938,16283,NA,"AL","Baldwin County"
1,7939,66698,NA,"AL","Baldwin County"
1,7954,144,NA,"AL","Baldwin County"
1,7955,133,NA,"AL","Baldwin County"
1,7956,7599,NA,"AL","Baldwin County"
1,7957,17029,NA,"AL","Baldwin County"
1,7958,44,NA,"AL","Baldwin County"
1,7959,4028,NA,"AL","Baldwin County"
1,7990,26320,NA,"AL","Baldwin County"
1,7993,6329,NA,"AL","Baldwin County"
1,7994,435154,NA,"AL","Baldwin County"
1,7995,14756,NA,"AL","Baldwin County"
1,7996,2964,NA,"AL","Baldwin County"
1,7997,149243,NA,"AL","Baldwin County"
1,7998,135,NA,"AL","Baldwin County"
1,7999,37,NA,"AL","Baldwin County"
1,9319,1178,NA,"AL","Baldwin County"
1,9320,1191,NA,"AL","Baldwin County"
1,9321,138232,NA,"AL","Baldwin County"
1,9322,1171830,NA,"AL","Baldwin County"
1,9323,15995,NA,"AL","Baldwin County"
1,9324,418,NA,"AL","Baldwin County"
1,9332,5290,NA,"AL","Baldwin County"
1,9823,127118,NA,"AL","Baldwin County"
1,6006,4409,NA,"AL","Barbour County"
1,6012,6839,NA,"AL","Barbour County"
1,6014,3170,NA,"AL","Barbour County"
1,6015,7230,NA,"AL","Barbour County"
1,6108,1153,NA,"AL","Barbour County"
1,6109,496,NA,"AL","Barbour County"
1,6111,34553,NA,"AL","Barbour County"
1,6112,4357,NA,"AL","Barbour County"
1,6113,109303,NA,"AL","Barbour County"
1,6222,200,NA,"AL","Barbour County"
1,6414,3142,NA,"AL","Barbour County"
1,6415,7,NA,"AL","Barbour County"
1,6511,6,NA,"AL","Barbour County"
1,6513,1592,NA,"AL","Barbour County"
1,7191,62480,NA,"AL","Barbour County"
1,7192,6598,NA,"AL","Barbour County"
1,7193,5711,NA,"AL","Barbour County"
1,7195,6224,NA,"AL","Barbour County"
1,7196,238,NA,"AL","Barbour County"
1,7197,1581,NA,"AL","Barbour County"
1,7198,705,NA,"AL","Barbour County"
1,7199,127,NA,"AL","Barbour County"
1,7200,478,NA,"AL","Barbour County"
1,7292,50762,NA,"AL","Barbour County"
1,7295,353,NA,"AL","Barbour County"
1,7296,10898,NA,"AL","Barbour County"
1,7297,3405,NA,"AL","Barbour County"
1,7298,1129,NA,"AL","Barbour County"
1,7299,86073,NA,"AL","Barbour County"
1,7915,1821,NA,"AL","Barbour County"
1,7916,8626,NA,"AL","Barbour County"
1,7917,8269,NA,"AL","Barbour County"
1,7918,9783,NA,"AL","Barbour County"
1,7919,10428,NA,"AL","Barbour County"
1,7935,183,NA,"AL","Barbour County"
1,7936,3729,NA,"AL","Barbour County"
1,7937,79710,NA,"AL","Barbour County"
1,7938,2062,NA,"AL","Barbour County"
1,7939,16555,NA,"AL","Barbour County"
1,7954,8,NA,"AL","Barbour County"
1,7955,2,NA,"AL","Barbour County"
1,7957,321,NA,"AL","Barbour County"
1,7959,12,NA,"AL","Barbour County"
1,7990,674,NA,"AL","Barbour County"
1,7992,13,NA,"AL","Barbour County"
1,7993,685,NA,"AL","Barbour County"
