"Class","NCells","State","County"
"1",9466,"AL","Autauga County"
"2",44670,"AL","Autauga County"
"4",870,"AL","Autauga County"
"5",4805,"AL","Autauga County"
"6",9,"AL","Autauga County"
"10",1267,"AL","Autauga County"
"12",3,"AL","Autauga County"
"24",1655,"AL","Autauga County"
"26",53,"AL","Autauga County"
"27",2,"AL","Autauga County"
"28",239,"AL","Autauga County"
"29",144,"AL","Autauga County"
"37",162222,"AL","Autauga County"
"44",103,"AL","Autauga County"
"57",556,"AL","Autauga County"
"58",51,"AL","Autauga County"
"59",1830,"AL","Autauga County"
"61",2210,"AL","Autauga County"
"67",141,"AL","Autauga County"
"70",2,"AL","Autauga County"
"74",3471,"AL","Autauga County"
"92",10,"AL","Autauga County"
"111",25006,"AL","Autauga County"
"121",67633,"AL","Autauga County"
"122",25635,"AL","Autauga County"
"123",8386,"AL","Autauga County"
"124",2189,"AL","Autauga County"
"131",2049,"AL","Autauga County"
"141",329774,"AL","Autauga County"
"142",395075,"AL","Autauga County"
"143",201534,"AL","Autauga County"
"152",120299,"AL","Autauga County"
"176",158471,"AL","Autauga County"
"190",165543,"AL","Autauga County"
"195",3897,"AL","Autauga County"
"220",9,"AL","Autauga County"
"221",2,"AL","Autauga County"
"224",80,"AL","Autauga County"
"226",1,"AL","Autauga County"
"236",7,"AL","Autauga County"
"238",15,"AL","Autauga County"
"242",11,"AL","Autauga County"
"0",61161,"AL","Baldwin County"
"1",46846,"AL","Baldwin County"
"2",62701,"AL","Baldwin County"
"4",3901,"AL","Baldwin County"
"5",21240,"AL","Baldwin County"
"6",2,"AL","Baldwin County"
"10",153514,"AL","Baldwin County"
"12",1791,"AL","Baldwin County"
"24",116,"AL","Baldwin County"
"26",3699,"AL","Baldwin County"
"27",4,"AL","Baldwin County"
"28",3813,"AL","Baldwin County"
"29",18962,"AL","Baldwin County"
"37",49738,"AL","Baldwin County"
"44",65,"AL","Baldwin County"
"46",7933,"AL","Baldwin County"
"50",5,"AL","Baldwin County"
"53",14,"AL","Baldwin County"
"57",17,"AL","Baldwin County"
"58",1,"AL","Baldwin County"
"59",124378,"AL","Baldwin County"
"61",3019,"AL","Baldwin County"
"67",48,"AL","Baldwin County"
"70",337,"AL","Baldwin County"
"72",86,"AL","Baldwin County"
"74",24686,"AL","Baldwin County"
"92",4,"AL","Baldwin County"
"111",145209,"AL","Baldwin County"
"121",230704,"AL","Baldwin County"
"122",95550,"AL","Baldwin County"
"123",38632,"AL","Baldwin County"
"124",10595,"AL","Baldwin County"
"131",20890,"AL","Baldwin County"
"141",3614,"AL","Baldwin County"
"142",1701840,"AL","Baldwin County"
"143",32676,"AL","Baldwin County"
"152",215720,"AL","Baldwin County"
"176",308579,"AL","Baldwin County"
"190",1276284,"AL","Baldwin County"
"195",95139,"AL","Baldwin County"
"205",14,"AL","Baldwin County"
"224",1,"AL","Baldwin County"
"226",1184,"AL","Baldwin County"
"238",239,"AL","Baldwin County"
"240",2636,"AL","Baldwin County"
"242",11,"AL","Baldwin County"
"1",6861,"AL","Barbour County"
"2",27269,"AL","Barbour County"
"4",969,"AL","Barbour County"
"5",2742,"AL","Barbour County"
"6",3,"AL","Barbour County"
"10",19176,"AL","Barbour County"
"12",2,"AL","Barbour County"
"24",2130,"AL","Barbour County"
"26",46,"AL","Barbour County"
"27",1091,"AL","Barbour County"
"28",2585,"AL","Barbour County"
"29",831,"AL","Barbour County"
"37",135032,"AL","Barbour County"
"44",25,"AL","Barbour County"
"48",17,"AL","Barbour County"
"50",53,"AL","Barbour County"
"53",4,"AL","Barbour County"
"57",50,"AL","Barbour County"
"58",11,"AL","Barbour County"
"59",1468,"AL","Barbour County"
"61",88825,"AL","Barbour County"
"74",1780,"AL","Barbour County"
"92",3,"AL","Barbour County"
"111",52846,"AL","Barbour County"
"121",71899,"AL","Barbour County"
"122",19626,"AL","Barbour County"
"123",5638,"AL","Barbour County"
"124",1691,"AL","Barbour County"
"131",679,"AL","Barbour County"
"141",154953,"AL","Barbour County"
"142",938832,"AL","Barbour County"
"143",482507,"AL","Barbour County"
"152",279853,"AL","Barbour County"
"176",98576,"AL","Barbour County"
"190",192431,"AL","Barbour County"
"195",1041,"AL","Barbour County"
"205",123,"AL","Barbour County"
"226",47,"AL","Barbour County"
"238",21,"AL","Barbour County"
"242",25,"AL","Barbour County"
"1",1130,"AL","Bibb County"
"2",3310,"AL","Bibb County"
"4",12,"AL","Bibb County"
"5",1338,"AL","Bibb County"
"10",125,"AL","Bibb County"
"12",2,"AL","Bibb County"
"24",20,"AL","Bibb County"
"26",53,"AL","Bibb County"
"28",4,"AL","Bibb County"
"29",27,"AL","Bibb County"
"36",1,"AL","Bibb County"
"37",33343,"AL","Bibb County"
"44",1,"AL","Bibb County"
"46",1,"AL","Bibb County"
"57",3,"AL","Bibb County"
"58",1,"AL","Bibb County"
"59",71,"AL","Bibb County"
"61",4578,"AL","Bibb County"
"67",2,"AL","Bibb County"
"74",78,"AL","Bibb County"
"92",6,"AL","Bibb County"
"111",11753,"AL","Bibb County"
"121",73429,"AL","Bibb County"
"122",9525,"AL","Bibb County"
"123",3282,"AL","Bibb County"
"124",645,"AL","Bibb County"
"131",2556,"AL","Bibb County"
"141",420684,"AL","Bibb County"
"142",648334,"AL","Bibb County"
"143",258278,"AL","Bibb County"
"152",157513,"AL","Bibb County"
"176",95174,"AL","Bibb County"
"190",77580,"AL","Bibb County"
"195",1237,"AL","Bibb County"
"224",25,"AL","Bibb County"
"236",3,"AL","Bibb County"
"238",1,"AL","Bibb County"
"242",5,"AL","Bibb County"
"1",12672,"AL","Blount County"
"2",10380,"AL","Blount County"
"4",130,"AL","Blount County"
"5",23412,"AL","Blount County"
"10",1290,"AL","Blount County"
"12",69,"AL","Blount County"
"24",99,"AL","Blount County"
"26",1893,"AL","Blount County"
"27",128,"AL","Blount County"
"28",18,"AL","Blount County"
"29",62,"AL","Blount County"
"36",7,"AL","Blount County"
"37",122463,"AL","Blount County"
"44",9,"AL","Blount County"
"46",39,"AL","Blount County"
"57",26,"AL","Blount County"
"58",12,"AL","Blount County"
"59",128,"AL","Blount County"
"61",3123,"AL","Blount County"
"67",28,"AL","Blount County"
"70",6,"AL","Blount County"
"74",115,"AL","Blount County"
"92",8,"AL","Blount County"
"111",23006,"AL","Blount County"
"121",98530,"AL","Blount County"
"122",25620,"AL","Blount County"
"123",6547,"AL","Blount County"
"124",1662,"AL","Blount County"
"131",3304,"AL","Blount County"
"141",831240,"AL","Blount County"
"142",190106,"AL","Blount County"
"143",106308,"AL","Blount County"
"152",40681,"AL","Blount County"
"176",373792,"AL","Blount County"
"190",6301,"AL","Blount County"
"195",1064,"AL","Blount County"
"225",20,"AL","Blount County"
"226",5,"AL","Blount County"
"238",1,"AL","Blount County"
"240",17,"AL","Blount County"
"242",1,"AL","Blount County"
"1",8408,"AL","Bullock County"
"2",14573,"AL","Bullock County"
"4",99,"AL","Bullock County"
"5",486,"AL","Bullock County"
"10",6516,"AL","Bullock County"
"12",13,"AL","Bullock County"
"24",597,"AL","Bullock County"
"26",42,"AL","Bullock County"
"27",20,"AL","Bullock County"
"28",373,"AL","Bullock County"
"29",276,"AL","Bullock County"
"36",1,"AL","Bullock County"
"37",74124,"AL","Bullock County"
"44",5,"AL","Bullock County"
"48",11,"AL","Bullock County"
"50",2,"AL","Bullock County"
"57",2184,"AL","Bullock County"
"58",15,"AL","Bullock County"
"59",3544,"AL","Bullock County"
"61",15829,"AL","Bullock County"
"70",1,"AL","Bullock County"
"74",2109,"AL","Bullock County"
"92",34,"AL","Bullock County"
"111",20679,"AL","Bullock County"
"121",39090,"AL","Bullock County"
"122",8124,"AL","Bullock County"
"123",1420,"AL","Bullock County"
"124",385,"AL","Bullock County"
"131",668,"AL","Bullock County"
"141",181396,"AL","Bullock County"
"142",588314,"AL","Bullock County"
"143",317568,"AL","Bullock County"
"152",175304,"AL","Bullock County"
"176",160105,"AL","Bullock County"
"190",183696,"AL","Bullock County"
"195",805,"AL","Bullock County"
"205",18,"AL","Bullock County"
"226",38,"AL","Bullock County"
"238",12,"AL","Bullock County"
"240",3,"AL","Bullock County"
"242",23,"AL","Bullock County"
"1",12483,"AL","Butler County"
"2",10368,"AL","Butler County"
"4",64,"AL","Butler County"
"5",1038,"AL","Butler County"
"10",2999,"AL","Butler County"
"12",2,"AL","Butler County"
"24",22,"AL","Butler County"
"26",18,"AL","Butler County"
"28",28,"AL","Butler County"
"29",123,"AL","Butler County"
"37",84788,"AL","Butler County"
"44",2,"AL","Butler County"
"57",4,"AL","Butler County"
"58",2,"AL","Butler County"
"59",250,"AL","Butler County"
"61",2203,"AL","Butler County"
"70",10,"AL","Butler County"
"74",967,"AL","Butler County"
"111",9075,"AL","Butler County"
"121",71750,"AL","Butler County"
"122",12788,"AL","Butler County"
"123",3664,"AL","Butler County"
"124",983,"AL","Butler County"
"131",346,"AL","Butler County"
"141",264861,"AL","Butler County"
"142",899255,"AL","Butler County"
"143",369037,"AL","Butler County"
"152",155147,"AL","Butler County"
"176",181239,"AL","Butler County"
"190",153083,"AL","Butler County"
"195",1694,"AL","Butler County"
"205",1,"AL","Butler County"
"224",1,"AL","Butler County"
"226",2,"AL","Butler County"
"238",66,"AL","Butler County"
"240",1,"AL","Butler County"
"242",19,"AL","Butler County"
"1",12972,"AL","Calhoun County"
"2",22431,"AL","Calhoun County"
"4",5,"AL","Calhoun County"
"5",8928,"AL","Calhoun County"
"10",293,"AL","Calhoun County"
"12",2,"AL","Calhoun County"
"24",124,"AL","Calhoun County"
"26",3521,"AL","Calhoun County"
"27",20,"AL","Calhoun County"
"28",19,"AL","Calhoun County"
"29",11,"AL","Calhoun County"
"37",77969,"AL","Calhoun County"
"57",11,"AL","Calhoun County"
"58",1,"AL","Calhoun County"
"59",101,"AL","Calhoun County"
"61",930,"AL","Calhoun County"
"70",6,"AL","Calhoun County"
"74",46,"AL","Calhoun County"
"92",1,"AL","Calhoun County"
"111",18995,"AL","Calhoun County"
"121",165147,"AL","Calhoun County"
"122",65432,"AL","Calhoun County"
