"","NVC_Class","NCells","State"
"1",6028,11260285,"WV"
"2",6030,600268,"WV"
"3",6031,14815839,"WV"
"4",6033,1277330,"WV"
"5",6034,21392233,"WV"
"6",6042,621882,"WV"
"7",6047,1560580,"WV"
"8",6053,2785,"WV"
"9",6097,49633,"WV"
"10",6098,160,"WV"
"11",6099,1,"WV"
"12",6102,137,"WV"
"13",6103,387041,"WV"
"14",6171,9786,"WV"
"15",6172,17661,"WV"
"16",6196,3323,"WV"
"17",6199,555,"WV"
"18",6206,4042,"WV"
"19",6208,32,"WV"
"20",6212,38,"WV"
"21",6213,11253,"WV"
"22",6227,84,"WV"
"23",6228,3406,"WV"
"24",6230,23462,"WV"
"25",6232,525,"WV"
"26",6305,253,"WV"
"27",6309,10,"WV"
"28",6310,3,"WV"
"29",6606,2,"WV"
"30",6613,6,"WV"
"31",7191,407941,"WV"
"32",7192,105818,"WV"
"33",7193,350822,"WV"
"34",7195,1789,"WV"
"35",7196,2383,"WV"
"36",7197,3524,"WV"
"37",7198,3105,"WV"
"38",7199,700,"WV"
"39",7200,2768,"WV"
"40",7292,638829,"WV"
"41",7295,99470,"WV"
"42",7296,621347,"WV"
"43",7297,272753,"WV"
"44",7298,91766,"WV"
"45",7299,2311049,"WV"
"46",7905,653399,"WV"
"47",7906,37381,"WV"
"48",7907,407042,"WV"
"49",7908,637092,"WV"
"50",7909,89802,"WV"
"51",7935,773870,"WV"
"52",7936,63421,"WV"
"53",7937,94592,"WV"
"54",7938,2745,"WV"
"55",7939,55741,"WV"
"56",7957,33222,"WV"
"57",7958,182,"WV"
"58",7959,3659,"WV"
"59",7970,21588,"WV"
"60",7971,94,"WV"
"61",7973,3356,"WV"
"62",7974,308657,"WV"
"63",7975,49267,"WV"
"64",7976,14293,"WV"
"65",7977,3891423,"WV"
"66",7978,7519,"WV"
"67",9312,1749052,"WV"
"68",9314,14701,"WV"
"69",9315,2317880,"WV"
"70",9317,65837,"WV"
"71",9318,11363,"WV"
"72",9817,1464428,"WV"
"73",NA,104828538,"WV"
"74",-9999,538086,"FL"
"75",6001,33149,"FL"
"76",6002,270724,"FL"
"77",6003,2438579,"FL"
"78",6005,2367640,"FL"
"79",6006,3074133,"FL"
"80",6007,13503549,"FL"
"81",6008,523626,"FL"
"82",6009,9498202,"FL"
"83",6010,2824012,"FL"
"84",6012,4246361,"FL"
"85",6013,103794,"FL"
"86",6014,408225,"FL"
"87",6015,59,"FL"
"88",6054,1096,"FL"
"89",6108,1072713,"FL"
"90",6109,1600972,"FL"
"91",6110,4592,"FL"
"92",6111,4654388,"FL"
"93",6112,3828416,"FL"
"94",6113,2261228,"FL"
"95",6135,8714359,"FL"
"96",6184,607184,"FL"
"97",6185,1322630,"FL"
"98",6188,89,"FL"
"99",6195,66664,"FL"
"100",6220,180813,"FL"
"101",6221,6151,"FL"
"102",6222,538634,"FL"
"103",6223,3738234,"FL"
"104",6224,1254,"FL"
"105",6253,11943,"FL"
"106",6254,1046432,"FL"
"107",6255,25053,"FL"
"108",6256,27589,"FL"
"109",6310,125,"FL"
"110",6402,58883,"FL"
"111",6414,76695,"FL"
"112",6415,6579,"FL"
"113",6510,26,"FL"
"114",6511,227514,"FL"
"115",6512,392,"FL"
"116",6513,9086,"FL"
"117",6514,41,"FL"
"118",6533,10274,"FL"
"119",6535,803328,"FL"
"120",6584,197912,"FL"
"121",6591,59505,"FL"
"122",6610,1,"FL"
"123",6622,98911,"FL"
"124",7191,1498471,"FL"
"125",7192,215092,"FL"
"126",7193,126374,"FL"
"127",7195,443076,"FL"
"128",7196,115295,"FL"
"129",7197,52445,"FL"
"130",7198,34386,"FL"
"131",7199,9063,"FL"
"132",7200,23605,"FL"
"133",7292,32527263,"FL"
"134",7295,73475,"FL"
"135",7296,5231918,"FL"
"136",7297,2690527,"FL"
"137",7298,887514,"FL"
"138",7299,7621925,"FL"
"139",7915,27923,"FL"
"140",7916,1767662,"FL"
"141",7917,335962,"FL"
"142",7918,4622425,"FL"
"143",7919,2492248,"FL"
"144",7935,574621,"FL"
"145",7936,1415990,"FL"
"146",7937,1308434,"FL"
"147",7938,691202,"FL"
"148",7939,2032072,"FL"
"149",7954,6253,"FL"
"150",7955,91817,"FL"
"151",7956,625034,"FL"
"152",7957,759684,"FL"
"153",7958,17213,"FL"
"154",7959,242899,"FL"
"155",7990,4195569,"FL"
"156",7992,281,"FL"
"157",7993,12359,"FL"
"158",7994,4803233,"FL"
"159",7995,195752,"FL"
"160",7996,1520465,"FL"
"161",7997,12980285,"FL"
"162",7998,15508,"FL"
"163",7999,200,"FL"
"164",9319,72467,"FL"
"165",9320,453728,"FL"
"166",9321,2114178,"FL"
"167",9322,16222377,"FL"
"168",9323,867945,"FL"
"169",9324,155367,"FL"
"170",9332,336072,"FL"
"171",9823,5636139,"FL"
"172",NA,446906708,"FL"
"173",6030,6,"IL"
"174",6034,1084682,"IL"
"175",6035,388323,"IL"
"176",6036,1356226,"IL"
"177",6037,405602,"IL"
"178",6053,6768,"IL"
"179",6056,14601094,"IL"
"180",6097,637,"IL"
"181",6098,275080,"IL"
"182",6099,29545,"IL"
"183",6102,1488814,"IL"
"184",6103,1933431,"IL"
"185",6106,15424,"IL"
"186",6112,15772,"IL"
"187",6113,11724,"IL"
"188",6115,12889,"IL"
"189",6163,168525,"IL"
"190",6165,5688,"IL"
"191",6175,140,"IL"
"192",6196,6652,"IL"
"193",6199,59,"IL"
"194",6208,84491,"IL"
"195",6209,15508,"IL"
