VALUE,CLASS_NAME,GROUP,NVC_Match1,NVC_Match2,NVC_Match3,NVC_Match4,NVC_Classes
0,Background,O,,,,,Orchard
1,Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Vineyard
2,Cotton,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Bush fruit and berries
3,Rice,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Row Crop - Close Grown Crop
4,Sorghum,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Row Crop
5,Soybeans,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Close Grown Crop
6,Sunflower,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Wheat
10,Peanuts,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Aquaculture
11,Tobacco,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Pasture and hayland
12,Sweet Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,Fallow/Idle
13,Pop or Orn Corn,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
14,Mint,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
21,Barley,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
22,Durum Wheat,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
23,Spring Wheat,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
24,Winter Wheat,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
25,Other Small Grains,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
26,Dbl Crop WinWht/Soybeans,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
27,Rye,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
28,Oats,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
29,Millet,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
30,Speltz,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
31,Canola,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
32,Flaxseed,A,Pasture and hayland,Row Crop - Close Grown Crop,Wheat,Fallow/Idle,
