"","FIPS","STATE","COUNTY","LF2010_Region","Class","NCells","PctCounty"
"1","53073","WA","Whatcom County","NW",-1001,6905,0.110497980231343
"2","30029","MT","Flathead County","NW",-1001,24020,0.159048463762013
"3","53073","WA","Whatcom County","NW",-1001,6905,0.110497980231343
"4","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"5","53073","WA","Whatcom County","NW",-1001,6905,0.110497980231343
"6","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"7","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"8","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"9","53057","WA","Skagit County","NW",-1001,3974,0.078496532641837
"10","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"11","53057","WA","Skagit County","NW",-1001,3974,0.078496532641837
"12","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"13","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"14","53055","WA","San Juan County","NW",-1001,1983,0.397848448431177
"15","53029","WA","Island County","NW",-1001,2002,0.321918259776137
"16","26083","MI","Keweenaw County","NC",-1001,313,0.0192585282054374
"17","53031","WA","Jefferson County","NW",-1001,1750,0.0334038823328202
"18","53035","WA","Kitsap County","NW",-1001,2505,0.216959757212938
"19","53033","WA","King County","NW",-1001,4573,0.0723406429600912
"20","26083","MI","Keweenaw County","NC",-1001,313,0.0192585282054374
"21","53045","WA","Mason County","NW",-1001,9621,0.343460681409428
"22","53053","WA","Pierce County","NW",-1001,10729,0.220427636600315
"23","53045","WA","Mason County","NW",-1001,9621,0.343460681409428
"24","53053","WA","Pierce County","NW",-1001,10729,0.220427636600315
"25","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"26","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"27","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"28","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"29","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"30","55007","WI","Bayfield County","NC",-1001,365,0.00841647387561097
"31","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"32","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"33","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"34","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"35","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"36","55003","WI","Ashland County","NC",-1001,85,0.00280258061623143
"37","27137","MN","Saint Louis County","NC",-1001,6619,0.0341070939045228
"38","26003","MI","Alger County","NC",-1001,766,0.0280720888309368
"39","26033","MI","Chippewa County","NC",-1001,2473,0.0540903858440233
"40","53049","WA","Pacific County","NW",-1001,8051,0.298008808120231
"41","26033","MI","Chippewa County","NC",-1001,2473,0.0540903858440233
"42","41007","OR","Clatsop County","NW",-1001,2611,0.112005573253189
"43","53069","WA","Wahkiakum County","NW",-1001,5197,0.689940829973462
"44","26033","MI","Chippewa County","NC",-1001,2473,0.0540903858440233
"45","26097","MI","Mackinac County","NC",-1001,1358,0.0442161642965869
"46","26097","MI","Mackinac County","NC",-1001,1358,0.0442161642965869
"47","26097","MI","Mackinac County","NC",-1001,1358,0.0442161642965869
"48","26029","MI","Charlevoix County","NC",-1001,1594,0.120563030866859
"49","26097","MI","Mackinac County","NC",-1001,1358,0.0442161642965869
"50","26029","MI","Charlevoix County","NC",-1001,1594,0.120563030866859
"51","26029","MI","Charlevoix County","NC",-1001,1594,0.120563030866859
"52","26029","MI","Charlevoix County","NC",-1001,1594,0.120563030866859
"53","41051","OR","Multnomah County","NW",-1001,1331,0.10602705243201
"54","26041","MI","Delta County","NC",-1001,2548,0.0746550500127306
"55","26041","MI","Delta County","NC",-1001,2548,0.0746550500127306
"56","26089","MI","Leelanau County","NC",-1001,1867,0.169078931877582
"57","55029","WI","Door County","NC",-1001,893,0.0627768455373255
"58","55029","WI","Door County","NC",-1001,893,0.0627768455373255
"59","55029","WI","Door County","NC",-1001,893,0.0627768455373255
"60","55029","WI","Door County","NC",-1001,893,0.0627768455373255
"61","26089","MI","Leelanau County","NC",-1001,1867,0.169078931877582
"62","26089","MI","Leelanau County","NC",-1001,1867,0.169078931877582
"63","23029","ME","Washington County","NE",-1001,8933,0.113275170280491
"64","23029","ME","Washington County","NE",-1001,8933,0.113275170280491
"65","23029","ME","Washington County","NE",-1001,8933,0.113275170280491
"66","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"67","23029","ME","Washington County","NE",-1001,8933,0.113275170280491
"68","23029","ME","Washington County","NE",-1001,8933,0.113275170280491
"69","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"70","23027","ME","Waldo County","NE",-1001,882,0.0406253540900335
"71","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"72","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"73","36045","NY","Jefferson County","NE",-1001,824,0.0222481063459483
"74","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"75","36045","NY","Jefferson County","NE",-1001,824,0.0222481063459483
"76","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"77","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"78","23013","ME","Knox County","NE",-1001,318,0.030054637061904
"79","36045","NY","Jefferson County","NE",-1001,824,0.0222481063459483
"80","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"81","23013","ME","Knox County","NE",-1001,318,0.030054637061904
"82","23009","ME","Hancock County","NE",-1001,2671,0.0555388054270416
"83","23013","ME","Knox County","NE",-1001,318,0.030054637061904
"84","23013","ME","Knox County","NE",-1001,318,0.030054637061904
"85","36045","NY","Jefferson County","NE",-1001,824,0.0222481063459483
"86","23015","ME","Lincoln County","NE",-1001,755,0.0561246904779073
"87","23015","ME","Lincoln County","NE",-1001,755,0.0561246904779073
"88","36045","NY","Jefferson County","NE",-1001,824,0.0222481063459483
"89","36045","NY","Jefferson County","NE",-1001,824,0.0222481063459483
"90","26063","MI","Huron County","NC",-1001,1041,0.0425339791742851
"91","23015","ME","Lincoln County","NE",-1001,755,0.0561246904779073
"92","23005","ME","Cumberland County","NE",-1001,651,0.0245625062962646
"93","23005","ME","Cumberland County","NE",-1001,651,0.0245625062962646
"94","36029","NY","Erie County","NE",-1001,1006,0.0332601455842197
"95","26147","MI","Saint Clair County","NC",-1001,2332,0.111607036029163
"96","26147","MI","Saint Clair County","NC",-1001,2332,0.111607036029163
"97","26163","MI","Wayne County","NC",-1001,2255,0.127031017538167
"98","39123","OH","Ottawa County","NE",-1001,234,0.030477718703681
"99","44005","RI","Newport County","NE",-1001,152,0.0464956930305403
"100","44005","RI","Newport County","NE",-1001,152,0.0464956930305403
"101","25001","MA","Barnstable County","NE",-1001,1644,0.132744970588591
"102","39043","OH","Erie County","NE",-1001,177,0.0235995909404237
"103","44005","RI","Newport County","NE",-1001,152,0.0464956930305403
"104","25007","MA","Dukes County","NE",-1001,227,0.0717294378244809
"105","25007","MA","Dukes County","NE",-1001,227,0.0717294378244809
"106","25007","MA","Dukes County","NE",-1001,227,0.0717294378244809
"107","25007","MA","Dukes County","NE",-1001,227,0.0717294378244809
"108","25019","MA","Nantucket County","NE",-1001,487,0.30045222069357
"109","25019","MA","Nantucket County","NE",-1001,487,0.30045222069357
"110","36103","NY","Suffolk County","NE",-1001,1089,0.0400001028469127
"111","44009","RI","Washington County","NE",-1001,528,0.0518222692461332
"112","36103","NY","Suffolk County","NE",-1001,1089,0.0400001028469127
"113","36103","NY","Suffolk County","NE",-1001,1089,0.0400001028469127
"114","36103","NY","Suffolk County","NE",-1001,1089,0.0400001028469127
"115","36103","NY","Suffolk County","NE",-1001,1089,0.0400001028469127
"116","36085","NY","Richmond County","NE",-1001,33,0.0203049433307491
"117","36081","NY","Queens County","NE",-1001,7,0.00221138992174839
"118","34029","NJ","Ocean County","NE",-1001,401,0.0211741236368168
"119","34001","NJ","Atlantic County","NE",-1001,1935,0.116200443663503
"120","24025","MD","Harford County","NE",-1001,403,0.031484719364118
"121","51840","VA","Winchester City","NE",-1001,3,0.0113105112351078
"122","24035","MD","Queen Anne's County","NE",-1001,308,0.0292152480829865
"123","24035","MD","Queen Anne's County","NE",-1001,308,0.0292152480829865
"124","51600","VA","Fairfax City","NE",-1001,5,0.0278520499108734
"125","51660","VA","Harrisonburg City","NE",-1001,41,0.0793144139438609
"126","24019","MD","Dorchester County","NE",-1001,412,0.0248792120294613
"127","24019","MD","Dorchester County","NE",-1001,412,0.0248792120294613
"128","24019","MD","Dorchester County","NE",-1001,412,0.0248792120294613
"129","51790","VA","Staunton City","NE",-1001,85,0.147436342191078
"130","24039","MD","Somerset County","NE",-1001,408,0.0445614790042257
"131","51820","VA","Waynesboro City","NE",-1001,15,0.035720239087467
"132","51540","VA","Charlottesville City","NE",-1001,3,0.00873667656823344
"133","06067","CA","Sacramento County","SW",-1001,1621,0.0568220058553657
"134","06013","CA","Contra Costa County","SW",-1001,262,0.0123955192563445
"135","24039","MD","Somerset County","NE",-1001,408,0.0445614790042257
"136","24039","MD","Somerset County","NE",-1001,408,0.0445614790042257
"137","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"138","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"139","51560","VA","Clifton Forge City",NA,NA,NA,0
"140","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"141","51580","VA","Covington City",NA,NA,NA,0
"142","51678","VA","Lexington City",NA,NA,NA,0
"143","06001","CA","Alameda County","SW",-1001,617,0.0285560629103488
"144","51530","VA","Buena Vista City","NE",-1001,6,0.0294738910448494
"145","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"146","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"147","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"148","51001","VA","Accomack County","NE",-1001,868,0.0661716498696388
"149","51115","VA","Mathews County","NE",-1001,178,0.0696992360493846
"150","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"151","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"152","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"153","51515","VA","Bedford City","NE",-1001,2,0.00797289216663345
"154","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"155","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"156","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"157","51131","VA","Northampton County","NE",-1001,513,0.0878724085775804
"158","51720","VA","Norton City","NE",-1001,14,0.0620402375254808
"159","51595","VA","Emporia City","NE",-1001,9,0.0431861804222649
"160","51690","VA","Martinsville City","NE",-1001,5,0.0153364824243911
"161","51810","VA","Virginia Beach City","NE",-1001,469,0.0631212021291629
"162","37055","NC","Dare County","NE",-1001,476,0.0407594967058449
"163","37055","NC","Dare County","NE",-1001,476,0.0407594967058449
"164","37055","NC","Dare County","NE",-1001,476,0.0407594967058449
"165","37055","NC","Dare County","NE",-1001,476,0.0407594967058449
"166","37095","NC","Hyde County","SE",-1001,1297,0.0655557403224412
"167","37031","NC","Carteret County","SE",-1001,1100,0.0733102650366018
