"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"1",7970,1,2017,"CT",4,3.23650780807509e-06
"2",7970,1,2017,"IA",2,1.83489941998829e-06
"3",7970,1,2017,"IL",4,3.83431551765337e-06
"4",7970,1,2017,"IN",1,8.35184659328177e-07
"5",7970,1,2017,"MA",4,3.79128091228144e-06
"6",7970,1,2017,"MD",30,2.47907745984432e-05
"7",7970,1,2017,"MI",1831,0.00161500119746899
"8",7970,1,2017,"MN",37,3.43165488310578e-05
"9",7970,1,2017,"NC",6,4.97459779471337e-06
"10",7970,1,2017,"NY",78,6.83863009088411e-05
"11",7970,1,2017,"OH",48,3.95487614173986e-05
"12",7970,1,2017,"PA",1049,0.000838334366822288
"13",7970,1,2017,"SC",35,3.22566917330108e-05
"14",7970,1,2017,"TN",3648,0.00250208625276246
"15",7970,1,2017,"TX",1,8.91861761426979e-07
"16",7970,1,2017,"VA",798,0.000633618127975279
"17",7970,1,2017,"WI",289,0.000262129261381634
"18",7970,1,2017,"WV",183,0.000173782242303726
"19",7970,1,2018,"CT",1,9.04847175836237e-07
"20",7970,1,2018,"IL",344,0.000329765043910246
"21",7970,1,2018,"NH",1,8.88320363856021e-07
"22",7970,1,2018,"NJ",136,0.000139415970099375
"23",7970,1,2018,"PA",146,0.000116536711940201
"24",7970,1,2018,"WV",10,9.47553223385417e-06
"25",7970,2,2017,"NC",2,1.65688414651826e-06
"26",7970,2,2017,"SC",8,7.37285058365328e-06
"27",7970,4,2017,"MI",2,1.76451305476425e-06
"28",7970,4,2017,"NC",1,8.29329056206948e-07
"29",7970,4,2017,"PA",3,2.39120038259206e-06
"30",7970,4,2017,"VA",2,1.58801493369244e-06
"31",7970,4,2017,"WI",21,1.90618721241818e-05
"32",7970,4,2018,"PA",1,7.97715343256912e-07
"33",7970,5,2017,"AR",5,4.4185118511163e-06
"34",7970,5,2017,"IA",2,1.83117904143667e-06
"35",7970,5,2017,"IL",10,9.60443776526159e-06
"36",7970,5,2017,"IN",4,3.33800032695426e-06
"37",7970,5,2017,"MD",23,1.90096251028262e-05
"38",7970,5,2017,"MI",194,0.000171173323865167
"39",7970,5,2017,"MN",22,2.04022366337075e-05
"40",7970,5,2017,"NC",147,0.000121876745729506
"41",7970,5,2017,"NY",15,1.31556341721215e-05
"42",7970,5,2017,"OH",63,5.19097602108038e-05
"43",7970,5,2017,"PA",951,0.000760105064338704
