"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"1",7960,1,2012,"OR","41021",1,6.46501007248569e-07
"2",7960,1,2014,"WA","53047",21,1.65673415097108e-05
"3",7960,1,2015,"WA","53037",18,1.4200578436895e-05
"4",7960,1,2015,"WA","53077",1012,0.000798388076563208
"5",7960,1,2019,"OR","41065",2,1.29300201449714e-06
"6",7960,1,2020,"WA","53001",10,7.88012129082691e-06
"7",7960,1,2020,"WA","53021",59,4.65121327525297e-05
"8",7960,1,2020,"WA","53071",12889,0.0101636402060327
"9",7960,4,2015,"WA","53077",15,1.18338153640792e-05
"10",7960,6,2020,"WA","53071",1,7.88551493989661e-07
"11",7960,12,2015,"WA","53077",1,7.88921024271944e-07
"12",7960,12,2020,"WA","53001",2,1.57602425816538e-06
"13",7960,12,2020,"WA","53021",5,3.94113937522739e-06
"14",7960,12,2020,"WA","53071",1276,0.00100619170633081
"15",7960,14,2014,"WA","53047",1,7.88921024271944e-07
"16",7960,14,2015,"WA","53077",20,1.57784204854389e-05
"17",7960,14,2019,"OR","41065",3,1.93950302174571e-06
"18",7960,14,2020,"WA","53001",1,7.88012129082691e-07
"19",7960,14,2020,"WA","53021",4,3.15366661105167e-06
"20",7960,14,2020,"WA","53071",2395,0.00188858082810524
"21",7960,21,2015,"WA","53077",4,3.15568409708778e-06
"22",7960,21,2016,"WA","41027",17,1.34338235278561e-05
"23",7960,21,2019,"OR","41065",16,1.03440161159771e-05
"24",7960,21,2020,"WA","53071",1,7.88551493989661e-07
"25",7960,23,2015,"WA","53037",5,3.94460512135972e-06
"26",7960,23,2015,"WA","53077",147,0.000115971390567976
"27",7960,23,2019,"WA","53063",1,7.88921024271944e-07
"28",7960,23,2019,"WA","53065",8,6.31514810325831e-06
"29",7960,23,2020,"WA","53021",6,4.73023023412402e-06
"30",7960,23,2020,"WA","53071",1662,0.00131057258301082
"31",7960,24,2013,"TX","48151",1,4.53600110678427e-07
"32",7960,24,2014,"WA","53047",3,2.36676307281583e-06
"33",7960,24,2015,"WA","53037",16,1.26227363883511e-05
"34",7960,24,2015,"WA","53077",198,0.000156206362805845
"35",7960,24,2016,"WA","41027",3,2.36946522852064e-06
"36",7960,24,2018,"OK","40151",1,8.76607039855816e-07
"37",7960,24,2019,"OR","41055",1,6.46501007248569e-07
"38",7960,24,2019,"OR","41065",64,4.13760644639084e-05
"39",7960,24,2019,"WA","53063",2,1.57892202256753e-06
"40",7960,24,2019,"WA","53065",14,1.10524541579727e-05
"41",7960,24,2020,"WA","53001",5,3.94006064541345e-06
"42",7960,24,2020,"WA","53021",14,1.10375634562274e-05
"43",7960,24,2020,"WA","53071",616,0.000485747720297631
"44",7960,28,2015,"WA","53037",21,1.65673415097108e-05
"45",7960,28,2015,"WA","53077",47,3.70792881407814e-05
"46",7960,28,2019,"WA","53065",3,2.36784304683948e-06
"47",7960,28,2020,"WA","53001",1,7.88012129082691e-07
"48",7960,28,2020,"WA","53071",39,3.07535082655968e-05
"49",7960,31,2015,"WA","53077",1,7.88921024271944e-07
"50",7960,31,2019,"OR","41065",1,6.46501007248569e-07
"51",7960,31,2019,"WA","53065",1,7.89461011283766e-07
"52",7960,31,2020,"WA","53071",2,1.57710298797932e-06
"53",7960,32,2020,"WA","53071",2,1.57710298797932e-06
"54",7960,36,2012,"ID","41001",1,7.59171743627702e-07
"55",7960,36,2012,"OR","41021",27,1.74555271957114e-05
"56",7960,36,2012,"OR","53039",21,1.357652115222e-05
"57",7960,36,2012,"UT","49045",1,7.00302670814326e-07
"58",7960,36,2014,"ID","53065",2,1.5183434872554e-06
"59",7960,36,2014,"WA","53047",433,0.000341602803509752
"60",7960,36,2015,"ID","16053",2,1.5183434872554e-06
"61",7960,36,2015,"ID","16083",5,3.79585871813851e-06
"62",7960,36,2015,"WA","53037",455,0.000358959066043735
"63",7960,36,2015,"WA","53077",3498,0.00275964574290326
"64",7960,36,2016,"WA","41027",82,6.47725975440264e-05
"65",7960,36,2016,"WA","53039",4,3.15784404513506e-06
"66",7960,36,2017,"NV","06027",64,4.67430330969889e-05
"67",7960,36,2018,"ID","53019",1,7.59171743627702e-07
"68",7960,36,2018,"OK","40151",1,8.76607039855816e-07
"69",7960,36,2019,"OR","41055",4,2.58600402899428e-06
"70",7960,36,2019,"OR","41065",224,0.00014481622562368
"71",7960,36,2019,"WA","53063",7,5.52298715691543e-06
"72",7960,36,2019,"WA","53065",35,2.76295154338964e-05
"73",7960,36,2020,"WA","53001",104,8.19532614245998e-05
"74",7960,36,2020,"WA","53021",196,0.000154478963640277
"75",7960,36,2020,"WA","53071",1074,0.000846904304544895
"76",7960,36,2021,"CA","06109",1,1.00384270989347e-06
"77",7960,36,2021,"WA","53007",29,2.28943693272292e-05
"78",7960,37,2012,"OR","41021",6,3.87900604349142e-06
"79",7960,37,2012,"OR","53039",1,6.46501007248569e-07
"80",7960,37,2013,"WA","53003",2,1.57892202256753e-06
"81",7960,37,2014,"ID","53063",1,7.59171743627702e-07
"82",7960,37,2014,"WA","53047",1,7.88921024271944e-07
"83",7960,37,2015,"OR","53063",2,1.29550459904133e-06
"84",7960,37,2015,"WA","53037",325,0.000256399332888382
"85",7960,37,2015,"WA","53077",485,0.000382626696771893
"86",7960,37,2016,"WA","41027",146,0.000115345718831638
"87",7960,37,2019,"OR","41055",2,1.29300201449714e-06
"88",7960,37,2019,"OR","41065",66,4.26690664784056e-05
"89",7960,37,2019,"WA","53063",6,4.73352614563167e-06
"90",7960,37,2019,"WA","53065",21,1.65770612759236e-05
"91",7960,37,2020,"ID","41045",1,7.6151486629322e-07
"92",7960,37,2020,"WA","53001",34,2.67924123888115e-05
"93",7960,37,2020,"WA","53021",56,4.41308366882586e-05
"94",7960,37,2020,"WA","53071",22,1.73481328677725e-05
"95",7960,37,2021,"WA","53007",48,3.78941285416208e-05
"96",7960,42,2015,"WA","53037",1,7.88921024271944e-07
"97",7960,42,2015,"WA","53077",2,1.57784204854389e-06
"98",7960,42,2020,"WA","53001",2,1.57602425816538e-06
"99",7960,42,2020,"WA","53021",4,3.15204851633076e-06
"100",7960,42,2020,"WA","53071",215,0.000169538571207777
"101",7960,43,2015,"WA","53077",35,2.7612235849518e-05
"102",7960,43,2020,"WA","53001",2,1.57602425816538e-06
"103",7960,43,2020,"WA","53021",10,7.88335748026873e-06
"104",7960,43,2020,"WA","53071",8925,0.00703782208385772
"105",7960,44,2015,"WA","53077",2,1.57784204854389e-06
"106",7960,44,2019,"OR","41065",2,1.29300201449714e-06
"107",7960,44,2020,"WA","53001",1,7.88012129082691e-07
"108",7960,49,2015,"WA","53077",5,3.94460512135972e-06
"109",7960,49,2020,"WA","53021",2,1.57602425816538e-06
"110",7960,49,2020,"WA","53071",49,3.86390232054934e-05
"111",7960,53,2014,"WA","53047",2,1.57784204854389e-06
"112",7960,53,2015,"WA","53077",2,1.57784204854389e-06
"113",7960,53,2019,"WA","53065",1,7.89461011283766e-07
"114",7960,53,2020,"WA","53001",9,7.09210916174422e-06
"115",7960,53,2020,"WA","53021",7,5.51662426848581e-06
"116",7960,53,2020,"WA","53071",10,7.88551493989661e-06
"117",7960,54,2015,"WA","53077",14,1.10448943398072e-05
"118",7960,55,2015,"WA","53077",13,1.02559733155353e-05
"119",7960,56,2015,"WA","53037",27,2.13008676553425e-05
"120",7960,56,2015,"WA","53077",1501,0.00118417045743219
"121",7960,56,2020,"WA","53001",1,7.88012129082691e-07
"122",7960,56,2020,"WA","53021",1,7.88551493989661e-07
"123",7960,56,2020,"WA","53071",22,1.73481328677725e-05
"124",7960,57,2012,"ID","41001",1,7.58610226065847e-07
"125",7960,57,2015,"WA","53037",3,2.36676307281583e-06
"126",7960,57,2015,"WA","53077",108,8.520347062137e-05
"127",7960,57,2021,"WA","53007",5,3.94730505641883e-06
"128",7960,58,2020,"WA","53071",1,7.88551493989661e-07
"129",7960,59,2013,"NM","48501",1,7.84745181468399e-07
"130",7960,59,2015,"WA","53077",1,7.88921024271944e-07
"131",7960,59,2019,"OR","41065",2,1.29300201449714e-06
"132",7960,59,2019,"WA","53063",2,1.57784204854389e-06
"133",7960,59,2020,"WA","53001",2,1.57602425816538e-06
"134",7960,59,2020,"WA","53021",8,6.30409703266153e-06
"135",7960,59,2020,"WA","53071",5,3.9427574699483e-06
"136",7960,59,2021,"WA","53007",4,3.15784404513506e-06
"137",7960,61,2012,"CA","06029",202,0.000202776227398481
"138",7960,61,2012,"NM","35047",1,7.81846768979135e-07
"139",7960,61,2012,"OR","41021",1,6.46501007248569e-07
"140",7960,61,2012,"OR","53039",1,6.46501007248569e-07
"141",7960,61,2013,"TX","48125",1,4.53879077536163e-07
"142",7960,61,2014,"ID","53065",2,1.5183434872554e-06
"143",7960,61,2014,"WA","53047",515,0.000406294327500051
"144",7960,61,2015,"CA","06107",14,1.40537979385086e-05
"145",7960,61,2015,"WA","53037",333,0.000262710701082557
"146",7960,61,2015,"WA","53077",9890,0.00780242893004953
"147",7960,61,2016,"WA","41027",148,0.000116905161350158
