"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"1",7960,1,2012,"OR",1,1.00000064650101
"2",7960,1,2014,"WA",21,1.00001656734151
"3",7960,1,2015,"WA",1030,1.000812588655
"4",7960,1,2019,"OR",2,1.00000129300201
"5",7960,1,2020,"WA",12958,1.01021803246008
"6",7960,4,2015,"WA",15,1.00001183381536
"7",7960,6,2020,"WA",1,1.00000078855149
"8",7960,12,2015,"WA",1,1.00000078892102
"9",7960,12,2020,"WA",1283,1.00101170886996
"10",7960,14,2014,"WA",1,1.00000078892102
"11",7960,14,2015,"WA",20,1.00001577842049
"12",7960,14,2019,"OR",3,1.00000193950302
"13",7960,14,2020,"WA",2400,1.00189252250685
"14",7960,21,2015,"WA",4,1.0000031556841
"15",7960,21,2016,"WA",17,1.00001343382353
"16",7960,21,2019,"OR",16,1.00001034401612
"17",7960,21,2020,"WA",1,1.00000078855149
"18",7960,23,2015,"WA",152,1.00011991599569
"19",7960,23,2019,"WA",9,1.00000710406913
"20",7960,23,2020,"WA",1668,1.00131530281324
"21",7960,24,2013,"TX",1,1.00000045360011
"22",7960,24,2014,"WA",3,1.00000236676307
"23",7960,24,2015,"WA",214,1.00016882909919
"24",7960,24,2016,"WA",3,1.00000236946523
"25",7960,24,2018,"OK",1,1.00000087660704
"26",7960,24,2019,"OR",65,1.00004202256547
"27",7960,24,2019,"WA",16,1.00001263137618
"28",7960,24,2020,"WA",635,1.0005007253444
"29",7960,28,2015,"WA",68,1.00005364662965
"30",7960,28,2019,"WA",3,1.00000236784305
"31",7960,28,2020,"WA",40,1.00003154152039
"32",7960,31,2015,"WA",1,1.00000078892102
"33",7960,31,2019,"OR",1,1.00000064650101
"34",7960,31,2019,"WA",1,1.00000078946101
"35",7960,31,2020,"WA",2,1.00000157710299
"36",7960,32,2020,"WA",2,1.00000157710299
"37",7960,36,2012,"ID",1,1.00000075917174
"38",7960,36,2012,"OR",48,1.00003103204835
"39",7960,36,2012,"UT",1,1.00000070030267
"40",7960,36,2014,"ID",2,1.00000151834349
"41",7960,36,2014,"WA",433,1.00034160280351
"42",7960,36,2015,"ID",7,1.00000531420221
"43",7960,36,2015,"WA",3953,1.00311860480895
"44",7960,36,2016,"WA",86,1.00006793044159
"45",7960,36,2017,"NV",64,1.0000467430331
"46",7960,36,2018,"ID",1,1.00000075917174
"47",7960,36,2018,"OK",1,1.00000087660704
"48",7960,36,2019,"OR",228,1.00014740222965
"49",7960,36,2019,"WA",42,1.00003315250259
"50",7960,36,2020,"WA",1374,1.00108333652961
