"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"1",7970,1,2012,"AL","01009",1,8.30421322562215e-07
"2",7970,1,2012,"AL","01043",10,8.3113290895687e-06
"3",7970,1,2012,"AL","01077",2,1.6665500081661e-06
"4",7970,1,2012,"AL","13123",1,8.35706740476286e-07
"5",7970,1,2012,"AL","13213",1,8.35706740476286e-07
"6",7970,2,2012,"AL","13145",1,8.3355839409974e-07
"7",7970,5,2012,"AL","01009",7,5.81437243072482e-06
"8",7970,5,2012,"AL","01043",2,1.66155423151909e-06
"9",7970,5,2012,"AL","01103",1,8.3113290895687e-07
"10",7970,24,2012,"AL","13145",2,1.66711678819948e-06
"11",7970,24,2012,"AL","13199",3,2.50067518229922e-06
"12",7970,27,2012,"AL","13145",2,1.66711678819948e-06
"13",7970,37,2012,"AL","01033",2,1.66084264512443e-06
"14",7970,37,2012,"AL","01117",1,8.30421322562215e-07
"15",7970,37,2012,"AL","01127",1,8.30421322562215e-07
"16",7970,37,2012,"AL","13097",2,1.66568946218219e-06
"17",7970,37,2012,"AL","13145",7,5.83490875869818e-06
"18",7970,37,2012,"AL","13199",71,5.91826459810816e-05
"19",7970,37,2012,"AL","13285",59,4.91799452518847e-05
"20",7970,61,2012,"AL","13145",1,8.3355839409974e-07
"21",7970,61,2012,"AL","13215",1,8.3355839409974e-07
"22",7970,111,2012,"AL","13285",2,1.66711678819948e-06
"23",7970,121,2012,"AL","13067",1,8.3355839409974e-07
"24",7970,121,2012,"AL","13199",1,8.3355839409974e-07
"25",7970,121,2012,"AL","13285",3,2.50067518229922e-06
"26",7970,131,2012,"AL","01125",3,2.49126396768665e-06
"27",7970,131,2012,"AL","01127",1,8.3113290895687e-07
"28",7970,131,2012,"AL","13199",1,8.3355839409974e-07
"29",7970,141,2012,"AL","01021",1,8.31939834111197e-07
"30",7970,141,2012,"AL","01043",2,1.66084264512443e-06
"31",7970,141,2012,"AL","01073",1,8.30421322562215e-07
"32",7970,141,2012,"AL","01077",3,2.49697133072831e-06
"33",7970,141,2012,"AL","01117",2,1.66387966822239e-06
"34",7970,141,2012,"AL","01127",3,2.4919755540813e-06
"35",7970,141,2012,"AL","13123",1,8.35706740476286e-07
"36",7970,141,2012,"AL","13129",2,1.66568946218219e-06
"37",7970,141,2012,"AL","13145",3,2.50067518229922e-06
"38",7970,141,2012,"AL","13199",6,5.00135036459844e-06
