"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"1",7970,1,2012,"AL","01027",1,8.30421322562215e-07
"2",7970,1,2012,"AL","01071",2,1.6665500081661e-06
"3",7970,1,2012,"AL","01117",2,1.66245511371193e-06
"4",7970,1,2012,"AL","13123",1,8.35706740476286e-07
"5",7970,1,2012,"AL","13213",1,8.35706740476286e-07
"6",7970,1,2014,"AL","01049",1,8.30421322562215e-07
"7",7970,1,2014,"AL","13083",1,8.30421322562215e-07
"8",7970,1,2017,"AL","01009",1,8.3113290895687e-07
"9",7970,5,2012,"AL","01049",1,8.30421322562215e-07
"10",7970,5,2012,"AL","01071",1,8.33275004083048e-07
"11",7970,5,2013,"AL","01009",5,4.15210661281108e-06
"12",7970,5,2013,"AL","01043",13,1.08040162300447e-05
"13",7970,5,2013,"AL","13129",1,8.33275004083048e-07
"14",7970,5,2014,"AL","01049",1,8.30421322562215e-07
"15",7970,5,2017,"AL","01009",1,8.3113290895687e-07
"16",7970,5,2017,"AL","01073",1,8.3113290895687e-07
"17",7970,26,2013,"AL","01115",2,1.66084264512443e-06
"18",7970,26,2014,"AL","13145",1,8.3355839409974e-07
"19",7970,37,2012,"AL","01033",2,1.66084264512443e-06
"20",7970,37,2012,"AL","01071",1,8.33275004083048e-07
"21",7970,37,2012,"AL","01127",1,8.30421322562215e-07
"22",7970,37,2013,"AL","01115",1,8.30421322562215e-07
"23",7970,37,2013,"AL","13067",39,3.25087773698899e-05
"24",7970,37,2013,"AL","13097",1,8.32844731091093e-07
"25",7970,37,2014,"AL","01049",2,1.66084264512443e-06
"26",7970,37,2014,"AL","01051",1,8.3113290895687e-07
"27",7970,37,2014,"AL","13145",22,1.83382846701943e-05
"28",7970,37,2014,"AL","13199",195,0.000162543886849449
"29",7970,37,2014,"AL","13285",111,9.25249817450712e-05
"30",7970,61,2012,"AL","01027",1,8.30421322562215e-07
"31",7970,61,2014,"AL","01037",1,8.3113290895687e-07
"32",7970,61,2014,"AL","13145",3,2.50067518229922e-06
"33",7970,61,2014,"AL","13199",1,8.3355839409974e-07
"34",7970,61,2015,"AL","13285",3,2.49339872687061e-06
"35",7970,69,2012,"AL","01117",7,5.81859289799175e-06
"36",7970,69,2014,"AL","01019",2,1.66084264512443e-06
"37",7970,69,2014,"AL","01071",1,8.30421322562215e-07
"38",7970,111,2013,"AL","01009",1,8.30421322562215e-07
"39",7970,111,2014,"AL","01049",6,4.98323952176795e-06
"40",7970,111,2014,"AL","01071",1,8.30421322562215e-07
"41",7970,121,2013,"AL","13067",1,8.3355839409974e-07
"42",7970,121,2014,"AL","13285",3,2.50067518229922e-06
"43",7970,131,2012,"AL","01127",1,8.3113290895687e-07
"44",7970,131,2014,"AL","01037",1,8.3113290895687e-07
"45",7970,131,2014,"AL","01049",3,2.4919755540813e-06
"46",7970,131,2015,"AL","01115",1,8.31939834111197e-07
"47",7970,141,2012,"AL","01021",1,8.31939834111197e-07
"48",7970,141,2012,"AL","01043",2,1.66084264512443e-06
"49",7970,141,2012,"AL","01049",14,1.1625898515871e-05
"50",7970,141,2012,"AL","01071",39,3.24720420255514e-05
"51",7970,141,2012,"AL","01077",1,8.30421322562215e-07
"52",7970,141,2012,"AL","01095",1,8.30421322562215e-07
"53",7970,141,2012,"AL","01117",6,4.98878989564625e-06
"54",7970,141,2012,"AL","01127",3,2.4919755540813e-06
"55",7970,141,2012,"AL","13123",1,8.35706740476286e-07
"56",7970,141,2013,"AL","01015",1,8.3113290895687e-07
"57",7970,141,2013,"AL","01111",1,8.3113290895687e-07
"58",7970,141,2013,"AL","13097",3,2.49853419327328e-06
"59",7970,141,2013,"AL","13213",2,1.6665500081661e-06
"60",7970,141,2014,"AL","01049",4,3.32168529024886e-06
"61",7970,141,2014,"AL","01127",1,8.3113290895687e-07
"62",7970,141,2014,"AL","13199",2,1.66711678819948e-06
"63",7970,141,2014,"AL","13285",3,2.50067518229922e-06
"64",7970,142,2012,"AL","01027",1,8.30421322562215e-07
"65",7970,142,2012,"AL","01049",6,4.98252793537329e-06
"66",7970,142,2012,"AL","01071",5,4.15210661281108e-06
"67",7970,142,2012,"AL","01077",1,8.30421322562215e-07
"68",7970,142,2012,"AL","01095",1,8.30421322562215e-07
"69",7970,142,2012,"AL","13123",1,8.35706740476286e-07
"70",7970,142,2012,"AL","13129",1,8.35706740476286e-07
"71",7970,142,2013,"AL","01015",2,1.66155423151909e-06
"72",7970,142,2013,"AL","13067",1,8.3355839409974e-07
"73",7970,142,2014,"AL","01049",3,2.49126396768665e-06
"74",7970,142,2014,"AL","13199",6,5.00063670158979e-06
"75",7970,142,2014,"AL","13285",1,8.3355839409974e-07
"76",7970,143,2012,"AL","01049",4,3.32168529024886e-06
"77",7970,143,2012,"AL","01071",2,1.66369632664526e-06
"78",7970,143,2012,"AL","01095",1,8.30421322562215e-07
"79",7970,143,2012,"AL","13123",1,8.35706740476286e-07
"80",7970,143,2013,"AL","13313",1,8.33275004083048e-07
"81",7970,143,2014,"AL","01049",3,2.4919755540813e-06
"82",7970,143,2014,"AL","01127",1,8.30421322562215e-07
