"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"1",7970,1,2012,"AL","01009",3,2.49287643627414e-06
"2",7970,1,2012,"AL","01027",1,8.30421322562215e-07
"3",7970,1,2012,"AL","01043",10,8.3113290895687e-06
"4",7970,1,2012,"AL","01049",1,8.3113290895687e-07
"5",7970,1,2012,"AL","01071",4,3.33310001633219e-06
"6",7970,1,2012,"AL","01077",2,1.6665500081661e-06
"7",7970,1,2012,"AL","01117",2,1.66245511371193e-06
"8",7970,1,2012,"AL","13123",1,8.35706740476286e-07
"9",7970,1,2012,"AL","13213",1,8.35706740476286e-07
"10",7970,1,2012,"AL","13313",1,8.33275004083048e-07
"11",7970,2,2012,"AL","01009",1,8.31227556855965e-07
"12",7970,2,2012,"AL","13145",1,8.3355839409974e-07
"13",7970,5,2012,"AL","01009",7,5.81437243072482e-06
"14",7970,5,2012,"AL","01019",1,8.30421322562215e-07
"15",7970,5,2012,"AL","01037",1,8.3113290895687e-07
"16",7970,5,2012,"AL","01043",2,1.66155423151909e-06
"17",7970,5,2012,"AL","01049",3,2.49126396768665e-06
"18",7970,5,2012,"AL","01071",2,1.6665500081661e-06
"19",7970,5,2012,"AL","01103",1,8.3113290895687e-07
"20",7970,5,2012,"AL","01115",1,8.30421322562215e-07
"21",7970,24,2012,"AL","13145",2,1.66711678819948e-06
"22",7970,24,2012,"AL","13199",3,2.50067518229922e-06
"23",7970,27,2012,"AL","13145",2,1.66711678819948e-06
"24",7970,37,2012,"AL","01033",2,1.66084264512443e-06
"25",7970,37,2012,"AL","01049",4,3.33024633481136e-06
"26",7970,37,2012,"AL","01071",1,8.33275004083048e-07
"27",7970,37,2012,"AL","01117",1,8.30421322562215e-07
"28",7970,37,2012,"AL","01127",1,8.30421322562215e-07
"29",7970,37,2012,"AL","13097",2,1.66568946218219e-06
"30",7970,37,2012,"AL","13145",7,5.83490875869818e-06
"31",7970,37,2012,"AL","13199",71,5.91826459810816e-05
"32",7970,37,2012,"AL","13285",59,4.91799452518847e-05
"33",7970,37,2013,"AL","13145",21,1.75047262760945e-05
"34",7970,37,2013,"AL","13199",7,5.83276776967224e-06
"35",7970,59,2012,"AL","13213",1,8.33275004083048e-07
"36",7970,61,2012,"AL","01027",1,8.30421322562215e-07
"37",7970,61,2012,"AL","13145",1,8.3355839409974e-07
"38",7970,61,2012,"AL","13215",1,8.3355839409974e-07
"39",7970,69,2012,"AL","01117",7,5.81859289799175e-06
"40",7970,111,2012,"AL","01049",1,8.30421322562215e-07
"41",7970,111,2012,"AL","01071",1,8.33275004083048e-07
"42",7970,111,2012,"AL","13285",2,1.66711678819948e-06
"43",7970,121,2012,"AL","13067",1,8.3355839409974e-07
"44",7970,121,2012,"AL","13199",1,8.3355839409974e-07
"45",7970,121,2012,"AL","13285",3,2.50067518229922e-06
"46",7970,131,2012,"AL","01071",1,8.33275004083048e-07
"47",7970,131,2012,"AL","01125",3,2.49126396768665e-06
"48",7970,131,2012,"AL","01127",1,8.3113290895687e-07
"49",7970,131,2012,"AL","13199",1,8.3355839409974e-07
"50",7970,141,2012,"AL","01015",3,2.49268714047596e-06
"51",7970,141,2012,"AL","01021",1,8.31939834111197e-07
"52",7970,141,2012,"AL","01037",1,8.3113290895687e-07
"53",7970,141,2012,"AL","01043",2,1.66084264512443e-06
"54",7970,141,2012,"AL","01049",38,3.15731323464892e-05
"55",7970,141,2012,"AL","01051",3,2.49339872687061e-06
"56",7970,141,2012,"AL","01055",1,8.30421322562215e-07
"57",7970,141,2012,"AL","01071",63,5.24706421235445e-05
"58",7970,141,2012,"AL","01073",1,8.30421322562215e-07
"59",7970,141,2012,"AL","01077",3,2.49697133072831e-06
"60",7970,141,2012,"AL","01089",1,8.34084008941381e-07
"61",7970,141,2012,"AL","01095",1,8.30421322562215e-07
"62",7970,141,2012,"AL","01117",6,4.98878989564625e-06
"63",7970,141,2012,"AL","01127",3,2.4919755540813e-06
"64",7970,141,2012,"AL","13123",1,8.35706740476286e-07
"65",7970,141,2012,"AL","13129",2,1.66568946218219e-06
