"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"1",7970,1,2012,"AL",7,1.00000583083993
"2",7970,1,2014,"AL",2,1.00000166084265
"3",7970,1,2017,"AL",1,1.00000083113291
"4",7970,5,2012,"AL",2,1.00000166369633
"5",7970,5,2013,"AL",19,1.00001578939785
"6",7970,5,2014,"AL",1,1.00000083042132
"7",7970,5,2017,"AL",2,1.00000166226582
"8",7970,26,2013,"AL",2,1.00000166084265
"9",7970,26,2014,"AL",1,1.00000083355839
"10",7970,37,2012,"AL",4,1.00000332453897
"11",7970,37,2013,"AL",41,1.00003417204342
"12",7970,37,2014,"AL",331,1.00027589912882
"13",7970,61,2012,"AL",1,1.00000083042132
"14",7970,61,2014,"AL",5,1.00000416536649
"15",7970,61,2015,"AL",3,1.00000249339873
"16",7970,69,2012,"AL",7,1.0000058185929
"17",7970,69,2014,"AL",3,1.00000249126397
"18",7970,111,2013,"AL",1,1.00000083042132
"19",7970,111,2014,"AL",7,1.00000581366084
"20",7970,121,2013,"AL",1,1.00000083355839
"21",7970,121,2014,"AL",3,1.00000250067518
"22",7970,131,2012,"AL",1,1.00000083113291
"23",7970,131,2014,"AL",4,1.00000332310846
"24",7970,131,2015,"AL",1,1.00000083193983
"25",7970,141,2012,"AL",68,1.00005656803786
"26",7970,141,2013,"AL",7,1.00000582735002
"27",7970,141,2014,"AL",10,1.00000832061017
"28",7970,142,2012,"AL",16,1.000013297312
"29",7970,142,2013,"AL",3,1.00000249511263
"30",7970,142,2014,"AL",10,1.00000832545906
"31",7970,143,2012,"AL",8,1.00000665150968
"32",7970,143,2013,"AL",1,1.000000833275
"33",7970,143,2014,"AL",4,1.00000332239688
"34",7970,143,2017,"AL",1,1.00000083408401
"35",7970,152,2012,"AL",21,1.00001748621949
"36",7970,152,2013,"AL",5,1.00000415567188
"37",7970,152,2014,"AL",11,1.00000915730564
"38",7970,152,2015,"AL",2,1.00000166655001
"39",7970,152,2017,"AL",13,1.00001080472782
"40",7970,176,2012,"AL",162,1.00013484579824
"41",7970,176,2013,"AL",55,1.00004568057933
"42",7970,176,2014,"AL",96,1.00007991455325
"43",7970,176,2017,"AL",2,1.00000166226582
"44",7970,190,2015,"AL",1,1.00000083113291
"45",7972,176,2012,"AL",4,1.00000332453164
"46",7972,176,2014,"AL",21,1.00001745379109
"47",7973,111,2012,"AL",1,1.000000833275
"48",7973,121,2012,"AL",1,1.000000833275
"49",7973,121,2013,"AL",2,1.00000166440791
"50",7973,121,2014,"AL",8,1.00000664915861
"51",7973,121,2015,"AL",3,1.00000249982501
"52",7973,121,2016,"AL",7,1.00000582007246
"53",7973,122,2012,"AL",1,1.00000083122756
"54",7973,122,2014,"AL",1,1.00000083042132
"55",7973,122,2017,"AL",1,1.00000083042132
"56",7973,123,2015,"AL",1,1.000000833275
"57",7973,131,2013,"AL",1,1.00000083113291
"58",7973,131,2014,"AL",1,1.00000083122756
"59",7973,141,2012,"AL",11,1.00000916388295
"60",7973,141,2013,"AL",30,1.00002499825012
"61",7973,141,2014,"AL",69,1.00005734470743
"62",7973,141,2015,"AL",18,1.00001499895007
"63",7973,141,2016,"AL",16,1.00001330026864
"64",7973,141,2017,"AL",12,1.00000996657369
"65",7973,142,2012,"AL",13,1.00001081053716
"66",7973,142,2014,"AL",10,1.00000831132909
"67",7973,142,2015,"AL",4,1.00000332819889
"68",7973,142,2016,"AL",3,1.00000249339873
"69",7973,143,2012,"AL",1,1.000000833275
"70",7973,143,2013,"AL",4,1.00000333310002
"71",7973,143,2014,"AL",19,1.00001579152527
"72",7973,143,2015,"AL",4,1.00000333310002
"73",7973,143,2017,"AL",3,1.00000249126397
"74",7973,152,2012,"AL",30,1.00002499159119
"75",7973,152,2013,"AL",8,1.00000666620003
"76",7973,152,2014,"AL",24,1.00001994363188
"77",7973,152,2015,"AL",41,1.00003409029302
"78",7973,152,2016,"AL",25,1.00002078046482
"79",7973,152,2017,"AL",40,1.00003322913917
"80",7973,190,2013,"AL",2,1.00000166655001
"81",7973,190,2014,"AL",2,1.00000166226582
"82",7973,190,2016,"AL",1,1.00000083113291
"83",7973,195,2015,"AL",1,1.000000833275
"84",7974,67,2012,"AL",1,1.00000083570674
"85",7974,67,2013,"AL",4,1.00000332239688
"86",7974,67,2014,"AL",13,1.00001083312205
"87",7974,67,2017,"AL",4,1.00000333351991
"88",7974,68,2014,"AL",1,1.00000083284473
"89",7974,69,2012,"AL",2,1.00000166245511
"90",7974,70,2014,"AL",1,1.00000083113291
"91",7974,74,2014,"AL",14,1.00001166453738
"92",7974,74,2015,"AL",3,1.00000249697133
"93",7974,111,2012,"AL",612,1.00050908896182
"94",7974,111,2013,"AL",660,1.00054830247505
"95",7974,111,2014,"AL",375,1.000311798758
"96",7974,111,2015,"AL",226,1.00018803783625
"97",7974,111,2016,"AL",510,1.00042368286773
"98",7974,111,2017,"AL",196,1.00016300212774
"99",7974,121,2012,"AL",3843,1.00319694546632
"100",7974,121,2013,"AL",2789,1.00231938005452
"101",7974,121,2014,"AL",3377,1.00280874194901
"102",7974,121,2015,"AL",982,1.00081705780009
"103",7974,121,2016,"AL",2217,1.0018425827185
"104",7974,121,2017,"AL",1336,1.00111229037416
"105",7974,122,2012,"AL",360,1.00029954945357
"106",7974,122,2013,"AL",224,1.00018627673393
"107",7974,122,2014,"AL",344,1.00028606817655
"108",7974,122,2015,"AL",43,1.00003577617183
"109",7974,122,2016,"AL",157,1.00013047169763
"110",7974,122,2017,"AL",107,1.00008911906353
"111",7974,123,2012,"AL",89,1.00007430201882
"112",7974,123,2013,"AL",114,1.00009468685209
"113",7974,123,2014,"AL",67,1.00005574013994
"114",7974,123,2015,"AL",20,1.00001663196749
"115",7974,123,2016,"AL",43,1.00003575357768
"116",7974,123,2017,"AL",33,1.00002747784542
"117",7974,124,2014,"AL",2,1.00000166369633
"118",7974,124,2016,"AL",7,1.00000581721878
"119",7974,124,2017,"AL",1,1.00000083284473
"120",7974,131,2012,"AL",800,1.00066494979487
"121",7974,131,2013,"AL",419,1.00034836636708
"122",7974,131,2014,"AL",503,1.00041825317392
"123",7974,131,2015,"AL",541,1.00044994335415
"124",7974,131,2016,"AL",188,1.0001562348184
"125",7974,131,2017,"AL",421,1.00034998520237
"126",7974,141,2012,"AL",13810,1.01148742073423
"127",7974,141,2013,"AL",17511,1.01456631417437
"128",7974,141,2014,"AL",13818,1.01149680554404
"129",7974,141,2015,"AL",5769,1.00480059007277
"130",7974,141,2016,"AL",7784,1.00647096739092
"131",7974,141,2017,"AL",6165,1.00513191411195
"132",7974,142,2012,"AL",2763,1.00229862848985
"133",7974,142,2013,"AL",2829,1.00235243578669
"134",7974,142,2014,"AL",2152,1.00178902409313
"135",7974,142,2015,"AL",835,1.00069445361112
"136",7974,142,2016,"AL",2305,1.00191588221661
"137",7974,142,2017,"AL",794,1.00066025503741
"138",7974,143,2012,"AL",2008,1.00167008670114
"139",7974,143,2013,"AL",1239,1.00103056303939
"140",7974,143,2014,"AL",1923,1.00159868972362
"141",7974,143,2015,"AL",436,1.00036282401794
"142",7974,143,2016,"AL",1420,1.00118010447673
"143",7974,143,2017,"AL",485,1.00040337074644
"144",7974,152,2012,"AL",10359,1.00861682678093
"145",7974,152,2013,"AL",6922,1.00575305003589
"146",7974,152,2014,"AL",7111,1.00591387772342
"147",7974,152,2015,"AL",14071,1.01170693193645
"148",7974,152,2016,"AL",11580,1.00963196115736
"149",7974,152,2017,"AL",10755,1.00894641878825
"150",7974,190,2012,"AL",660,1.00054895491292
"151",7974,190,2013,"AL",943,1.00078346887999
"152",7974,190,2014,"AL",851,1.000707727748
"153",7974,190,2015,"AL",306,1.0002545870059
"154",7974,190,2016,"AL",629,1.00052257771543
"155",7974,190,2017,"AL",279,1.0002322491225
"156",7974,195,2012,"AL",22,1.00001827212278
"157",7974,195,2013,"AL",10,1.00000831277427
"158",7974,195,2014,"AL",41,1.00003411048112
"159",7974,195,2015,"AL",4,1.00000332686303
"160",7974,195,2016,"AL",31,1.0000257587159
"161",7974,195,2017,"AL",14,1.0000116521292
"162",7974,242,2014,"AL",4,1.00000332453164
"163",7974,242,2016,"AL",1,1.00000083113291
"164",7975,111,2012,"AL",55,1.00004574956852
"165",7975,111,2013,"AL",80,1.00006647150792
"166",7975,111,2014,"AL",36,1.00002996841056
"167",7975,111,2015,"AL",10,1.00000830991325
"168",7975,111,2016,"AL",26,1.00002159237756
"169",7975,111,2017,"AL",6,1.00000499712353
"170",7975,121,2012,"AL",738,1.00061415275495
"171",7975,121,2013,"AL",560,1.00046558593823
"172",7975,121,2014,"AL",526,1.0004380336313
"173",7975,121,2015,"AL",133,1.00011069074823
"174",7975,121,2016,"AL",155,1.00012875664303
"175",7975,121,2017,"AL",230,1.000191598626
"176",7975,122,2012,"AL",55,1.00004575949477
"177",7975,122,2013,"AL",59,1.00004904764747
"178",7975,122,2014,"AL",48,1.00003994209928
"179",7975,122,2015,"AL",6,1.00000499536583
"180",7975,122,2016,"AL",22,1.00001827283436
"181",7975,122,2017,"AL",27,1.00002249704814
"182",7975,123,2012,"AL",8,1.00000664907794
"183",7975,123,2013,"AL",1,1.00000083042132
"184",7975,123,2014,"AL",9,1.00000749742759
"185",7975,123,2015,"AL",1,1.000000833275
"186",7975,123,2016,"AL",4,1.00000332453897
"187",7975,131,2012,"AL",14,1.00001164819101
"188",7975,131,2013,"AL",26,1.00002160306603
"189",7975,131,2014,"AL",20,1.00001665323927
"190",7975,131,2015,"AL",48,1.00003990886737
"191",7975,131,2016,"AL",8,1.00000664408217
"192",7975,131,2017,"AL",18,1.00001496572723
"193",7975,141,2012,"AL",1934,1.00160977321183
"194",7975,141,2013,"AL",2619,1.00217824288861
"195",7975,141,2014,"AL",2114,1.0017607179585
"196",7975,141,2015,"AL",676,1.00056271519381
"197",7975,141,2016,"AL",708,1.00058843463155
"198",7975,141,2017,"AL",643,1.00053539893248
"199",7975,142,2012,"AL",160,1.00013302230971
"200",7975,142,2013,"AL",369,1.00030681734927
"201",7975,142,2014,"AL",247,1.00020537348472
"202",7975,142,2015,"AL",57,1.00004742365539
"203",7975,142,2016,"AL",127,1.00010550623983
"204",7975,142,2017,"AL",97,1.00008067772422
"205",7975,143,2012,"AL",158,1.00013143707089
"206",7975,143,2013,"AL",140,1.00011639808929
"207",7975,143,2014,"AL",208,1.00017309623748
"208",7975,143,2015,"AL",42,1.00003494686615
"209",7975,143,2016,"AL",52,1.00004319472466
"210",7975,143,2017,"AL",58,1.00004822864678
"211",7975,152,2012,"AL",939,1.00078116252056
"212",7975,152,2013,"AL",976,1.00081118390716
"213",7975,152,2014,"AL",726,1.00060464849294
"214",7975,152,2015,"AL",1581,1.00131506541628
"215",7975,152,2016,"AL",997,1.00082944432911
"216",7975,152,2017,"AL",1172,1.00097555235052
"217",7975,190,2012,"AL",79,1.00006571671282
"218",7975,190,2013,"AL",198,1.00016449262181
"219",7975,190,2014,"AL",58,1.00004830617064
"220",7975,190,2015,"AL",31,1.00002577799476
"221",7975,190,2016,"AL",54,1.00004484845878
"222",7975,190,2017,"AL",28,1.00002329957024
"223",7975,195,2012,"AL",1,1.000000833275
"224",7975,195,2014,"AL",4,1.00000332881583
"225",7975,195,2015,"AL",2,1.00000166369633
"226",7976,67,2014,"AL",42,1.00003498875632
"227",7976,67,2017,"AL",1,1.00000083355839
"228",7976,74,2014,"AL",2,1.00000166640313
"229",7976,111,2012,"AL",6,1.00000498404576
"230",7976,111,2013,"AL",4,1.00000332453897
"231",7976,111,2014,"AL",3,1.00000249349337
"232",7976,111,2015,"AL",4,1.00000332329776
"233",7976,111,2016,"AL",3,1.00000249268714
"234",7976,111,2017,"AL",2,1.00000166245511
"235",7976,121,2012,"AL",23,1.00001915211491
"236",7976,121,2013,"AL",88,1.00007310672475
"237",7976,121,2014,"AL",110,1.00009145477319
"238",7976,121,2015,"AL",5,1.00000416432757
"239",7976,121,2016,"AL",25,1.00002078317369
"240",7976,122,2013,"AL",7,1.00000581651453
"241",7976,122,2014,"AL",12,1.00000997881505
"242",7976,122,2016,"AL",2,1.00000166226582
"243",7976,123,2013,"AL",8,1.00000664337058
"244",7976,123,2016,"AL",2,1.00000166226582
"245",7976,124,2014,"AL",2,1.00000166226582
"246",7976,131,2012,"AL",72,1.00005985239928
"247",7976,131,2013,"AL",24,1.00001995506128
"248",7976,131,2014,"AL",33,1.00002743702808
"249",7976,131,2015,"AL",34,1.00002825846847
"250",7976,131,2016,"AL",6,1.00000498466269
"251",7976,131,2017,"AL",31,1.0000257589052
"252",7976,141,2012,"AL",130,1.00010805043921
"253",7976,141,2013,"AL",336,1.00027927852024
"254",7976,141,2014,"AL",197,1.0001638157237
"255",7976,141,2015,"AL",36,1.00002992888927
"256",7976,141,2016,"AL",39,1.00003240451197
"257",7976,141,2017,"AL",37,1.00003074980434
"258",7976,142,2012,"AL",50,1.00004155465965
"259",7976,142,2013,"AL",158,1.00013131283662
"260",7976,142,2014,"AL",108,1.00008977709581
"261",7976,142,2015,"AL",50,1.00004153264219
"262",7976,142,2016,"AL",4,1.00000332453164
"263",7976,142,2017,"AL",17,1.00001412527388
"264",7976,143,2012,"AL",22,1.00001828567226
"265",7976,143,2013,"AL",26,1.00002160591971
"266",7976,143,2014,"AL",43,1.00003575130023
"267",7976,143,2016,"AL",12,1.00000996790222
"268",7976,143,2017,"AL",4,1.00000332400935
"269",7976,152,2012,"AL",68,1.00005653388965
"270",7976,152,2013,"AL",102,1.00008481850866
"271",7976,152,2014,"AL",151,1.00012556440209
"272",7976,152,2015,"AL",165,1.0001371550577
"273",7976,152,2016,"AL",177,1.00014714095166
"274",7976,152,2017,"AL",238,1.00019778622443
"275",7976,190,2012,"AL",3,1.00000249349337
"276",7976,190,2013,"AL",1,1.00000083284473
"277",7976,190,2014,"AL",11,1.00000914578767
"278",7976,190,2015,"AL",2,1.00000166236047
"279",7976,190,2017,"AL",2,1.00000166236047
"280",7976,195,2015,"AL",2,1.00000166236047
"281",7977,67,2012,"AL",18,1.00001496253446
"282",7977,67,2013,"AL",14,1.0000116410056
"283",7977,67,2014,"AL",469,1.00039076232757
"284",7977,67,2015,"AL",15,1.00001249055668
"285",7977,67,2016,"AL",1,1.00000083042132
"286",7977,67,2017,"AL",113,1.00009412901377
"287",7977,68,2012,"AL",21,1.00001750363856
"288",7977,68,2013,"AL",6,1.00000499394266
"289",7977,68,2014,"AL",11,1.00000915245895
"290",7977,68,2015,"AL",45,1.00003749737518
"291",7977,68,2017,"AL",3,1.00000250067518
"292",7977,69,2012,"AL",16,1.00001330177774
"293",7977,69,2013,"AL",6,1.00000498608587
"294",7977,69,2014,"AL",5,1.00000415352979
"295",7977,70,2014,"AL",11,1.00000913605772
"296",7977,70,2016,"AL",1,1.00000083113291
"297",7977,74,2013,"AL",31,1.0000257822384
"298",7977,74,2014,"AL",66,1.00005498931166
"299",7977,74,2015,"AL",18,1.00001496907075
"300",7977,111,2012,"AL",1127,1.00093688781514
"301",7977,111,2013,"AL",1137,1.00094478456148
"302",7977,111,2014,"AL",605,1.00050333741709
"303",7977,111,2015,"AL",633,1.00052650048152
"304",7977,111,2016,"AL",459,1.00038150849405
"305",7977,111,2017,"AL",446,1.00037111221283
"306",7977,121,2012,"AL",15962,1.01327843971429
"307",7977,121,2013,"AL",14987,1.0124627208379
"308",7977,121,2014,"AL",17919,1.01490094603084
"309",7977,121,2015,"AL",6382,1.00530782811154
"310",7977,121,2016,"AL",8378,1.00696597676145
"311",7977,121,2017,"AL",3960,1.00329473826293
"312",7977,122,2012,"AL",987,1.00082100965382
"313",7977,122,2013,"AL",1411,1.0011733510324
"314",7977,122,2014,"AL",1571,1.00130642826449
"315",7977,122,2015,"AL",449,1.0003733706045
"316",7977,122,2016,"AL",585,1.00048625654637
"317",7977,122,2017,"AL",292,1.00024295809374
"318",7977,123,2012,"AL",356,1.00029601534185
"319",7977,123,2013,"AL",502,1.00041731437626
"320",7977,123,2014,"AL",524,1.00043575926828
"321",7977,123,2015,"AL",245,1.00020368332918
"322",7977,123,2016,"AL",290,1.00024107549412
"323",7977,123,2017,"AL",133,1.00011066860602
"324",7977,124,2012,"AL",14,1.00001164667388
"325",7977,124,2013,"AL",17,1.00001413512007
"326",7977,124,2014,"AL",51,1.00004242452591
"327",7977,124,2015,"AL",11,1.00000914756045
"328",7977,124,2016,"AL",14,1.00001164257566
"329",7977,124,2017,"AL",5,1.00000416151783
"330",7977,131,2012,"AL",1411,1.00117300124505
"331",7977,131,2013,"AL",1234,1.00102626655668
"332",7977,131,2014,"AL",4611,1.00383419851117
"333",7977,131,2015,"AL",2506,1.00208344406176
"334",7977,131,2016,"AL",1475,1.00122589090278
"335",7977,131,2017,"AL",1641,1.00136411162148
"336",7977,141,2012,"AL",23486,1.01952802079832
"337",7977,141,2013,"AL",51469,1.04282698663579
"338",7977,141,2014,"AL",23137,1.01924298239998
"339",7977,141,2015,"AL",13902,1.01156424173915
"340",7977,141,2016,"AL",16870,1.01403200171205
"341",7977,141,2017,"AL",8904,1.00740801180271
"342",7977,142,2012,"AL",7716,1.00641423875693
