"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"1",7970,1,2012,"AL",26,1.00002163255338
"2",7970,2,2012,"AL",2,1.00000166478595
"3",7970,5,2012,"AL",18,1.0000149568491
"4",7970,24,2012,"AL",5,1.00000416779197
"5",7970,27,2012,"AL",2,1.00000166711679
"6",7970,37,2012,"AL",148,1.00012334839608
"7",7970,37,2013,"AL",28,1.00002333749405
"8",7970,59,2012,"AL",1,1.000000833275
"9",7970,61,2012,"AL",3,1.00000249753811
"10",7970,69,2012,"AL",7,1.0000058185929
"11",7970,111,2012,"AL",4,1.00000333081311
"12",7970,121,2012,"AL",5,1.00000416779197
"13",7970,131,2012,"AL",6,1.00000498923027
"14",7970,141,2012,"AL",141,1.00011732739902
"15",7970,141,2013,"AL",53,1.00004416275863
"16",7970,142,2012,"AL",82,1.00006825170987
"17",7970,142,2013,"AL",12,1.00000999742059
"18",7970,142,2014,"AL",1,1.00000083284473
"19",7970,143,2012,"AL",33,1.0000274684921
"20",7970,152,2012,"AL",60,1.00004994154673
"21",7970,152,2013,"AL",4,1.00000333338341
"22",7970,176,2012,"AL",577,1.0004804819591
"23",7970,176,2013,"AL",24,1.00001999003172
"24",7970,190,2012,"AL",6,1.00000499180057
"25",7972,37,2012,"AL",2,1.00000166226582
"26",7972,61,2012,"AL",1,1.00000083113291
"27",7972,131,2012,"AL",1,1.00000083113291
"28",7972,176,2012,"AL",35,1.00002908965181
"29",7972,176,2013,"AL",2,1.00000166226582
"30",7973,111,2012,"AL",3,1.00000249768292
"31",7973,111,2013,"AL",8,1.00000666620003
"32",7973,111,2015,"AL",1,1.00000083122756
"33",7973,121,2012,"AL",23,1.00001913747786
"34",7973,121,2013,"AL",1,1.00000083113291
"35",7973,121,2014,"AL",1,1.00000083042132
"36",7973,122,2012,"AL",2,1.00000166164888
"37",7973,122,2013,"AL",1,1.00000083042132
"38",7973,131,2012,"AL",1,1.00000083042132
"39",7973,131,2013,"AL",1,1.00000083113291
"40",7973,131,2014,"AL",1,1.00000083122756
"41",7973,131,2015,"AL",7,1.00000582206033
"42",7973,131,2017,"AL",2,1.00000166226582
"43",7973,141,2012,"AL",102,1.0000848414474
"44",7973,141,2013,"AL",34,1.00002832021772
"45",7973,141,2014,"AL",26,1.00002162740596
"46",7973,141,2015,"AL",13,1.00001080401623
"47",7973,141,2016,"AL",4,1.00000332382005
"48",7973,141,2017,"AL",2,1.00000166155423
"49",7973,142,2012,"AL",31,1.00002577665156
"50",7973,142,2013,"AL",7,1.00000582507557
