"","NVC_Class","CDL_Class","CDLYear","State","Mismatch_NCells","Mismatch_PctTile"
"1",7960,1,2012,"CA",17,1.00001706124806
"2",7960,1,2012,"CO",99,1.00007226495864
"3",7960,1,2012,"ID",310,1.00023534480581
"4",7960,1,2012,"NM",16,1.0000125095483
"5",7960,1,2012,"OK",35,1.00003063795219
"6",7960,1,2012,"OR",11833,1.00765960797605
"7",7960,1,2012,"UT",191,1.00013365631698
"8",7960,1,2012,"WA",5061,1.00398830807816
"9",7960,1,2013,"CO",8,1.00000584220296
"10",7960,1,2013,"ID",28,1.00002125680882
"11",7960,1,2013,"OR",1458,1.00094358301761
"12",7960,1,2013,"UT",2,1.0000013992521
"13",7960,1,2013,"WA",201,1.00015839748142
"14",7960,1,2014,"CO",21,1.00001533840869
"15",7960,1,2014,"ID",4,1.00000303668697
"16",7960,1,2014,"NM",2,1.00000156949036
"17",7960,1,2014,"OR",472,1.00030557638678
"18",7960,1,2014,"UT",5,1.00000349880687
"19",7960,1,2014,"WA",52,1.00004097753961
"20",7960,1,2015,"OR",399,1.00025819203937
"21",7960,1,2015,"WA",11,1.00000866813342
"22",7960,1,2016,"OR",42,1.00002716784318
"23",7960,1,2017,"OR",1178,1.00076251123725
"24",7960,1,2017,"WA",30,1.00002365198168
"25",7960,1,2018,"ID",1,1.00000075917174
"26",7960,1,2018,"OR",297,1.0001920646588
"27",7960,1,2018,"WA",17,1.00001339765508
"28",7960,1,2019,"ID",32,1.0000242934958
"29",7960,1,2019,"OR",278,1.00017987253849
"30",7960,1,2019,"WA",12,1.00000945705444
"31",7960,1,2020,"OR",2950,1.0019091669845
"32",7960,1,2020,"WA",47,1.00003703892784
"33",7960,1,2021,"ID",50,1.00003795858718
"34",7960,1,2021,"OR",3001,1.0019413612285
"35",7960,1,2021,"WA",134,1.00010559507418
"36",7960,2,2012,"CA",5,1.00000501243083
"37",7960,2,2012,"NM",201,1.00015750337652
"38",7960,2,2012,"OK",401,1.000351495412
"39",7960,2,2012,"TX",438,1.00019874742833
"40",7960,2,2013,"NM",67,1.00005255668194
"41",7960,2,2013,"OK",2,1.00000175218344
"42",7960,2,2013,"TX",8,1.00000362935882
"43",7960,2,2014,"NM",39,1.00003058465917
"44",7960,2,2014,"TX",1,1.00000045360011
"45",7960,2,2015,"NM",45,1.00003529295186
"46",7960,2,2015,"TX",70,1.00003175200775
"47",7960,3,2012,"CA",1,1.00000100248617
"48",7960,4,2012,"ID",1,1.00000075917174
"49",7960,4,2012,"NM",7,1.00000547292738
"50",7960,4,2012,"OK",3,1.00000263044728
"51",7960,4,2012,"OR",101,1.00006531024648
"52",7960,4,2012,"TX",75,1.00003401995255
"53",7960,4,2013,"OR",6,1.00000388225479
"54",7960,4,2013,"TX",75,1.0000340200083
"55",7960,4,2014,"TX",3,1.00000136163723
"56",7960,4,2015,"TX",1,1.00000045387908
"57",7960,5,2012,"ID",3,1.00000227751523
"58",7960,5,2012,"OK",1,1.0000008744408
"59",7960,5,2012,"OR",15,1.00000970661161
"60",7960,6,2012,"CA",13,1.00001303232015
"61",7960,6,2012,"OR",78,1.00005056589194
"62",7960,6,2012,"WA",68,1.00005358590351
"63",7960,6,2013,"OR",17,1.00001101073943
"64",7960,6,2013,"WA",6,1.00000472807277
"65",7960,6,2014,"OR",14,1.00000906873508
"66",7960,6,2014,"WA",6,1.00000472807277
"67",7960,6,2021,"OR",1,1.0000006477523
"68",7960,6,2021,"WA",5,1.00000394221811
"69",7960,10,2013,"NM",2,1.00000156882645
"70",7960,12,2012,"CO",10,1.00000729469285
"71",7960,12,2012,"ID",12,1.00000911474717
"72",7960,12,2012,"OR",5120,1.0033129636395
"73",7960,12,2012,"UT",1,1.00000069962605
"74",7960,12,2012,"WA",237,1.00018676484093
"75",7960,12,2013,"OR",191,1.00012365917635
"76",7960,12,2013,"WA",64,1.00005043816991
"77",7960,12,2014,"OR",24,1.00001553142911
"78",7960,12,2014,"WA",4,1.00000315204852
"79",7960,12,2016,"OR",4,1.00000258600403
"80",7960,12,2019,"OR",8,1.00000517901446
"81",7960,12,2020,"OR",22,1.00001422617449
"82",7960,12,2020,"WA",2,1.00000157602426
"83",7960,12,2021,"CO",22,1.00001606834422
"84",7960,12,2021,"ID",8,1.00000607337395
"85",7960,12,2021,"OR",192,1.00012425164585
"86",7960,12,2021,"WA",2,1.00000157602426
"87",7960,14,2012,"ID",1,1.00000075917174
"88",7960,14,2012,"OR",449,1.00029037353402
"89",7960,14,2012,"WA",2,1.00000157602426
"90",7960,14,2013,"OR",60,1.00003881864942
"91",7960,14,2014,"OR",17,1.00001101018735
"92",7960,14,2014,"WA",7,1.0000055160849
"93",7960,14,2015,"OR",1,1.00000064650101
"94",7960,14,2019,"OR",8,1.00000517200806
"95",7960,14,2020,"OR",151,1.00009780499052
"96",7960,14,2020,"WA",2,1.00000157602426
"97",7960,14,2021,"ID",5,1.00000379585872
"98",7960,14,2021,"OR",1,1.00000064715076
"99",7960,14,2021,"WA",1,1.00000078801213
"100",7960,21,2012,"CO",6,1.00000437702293
"101",7960,21,2012,"ID",52,1.00003947915571
"102",7960,21,2012,"OR",287,1.00018570706242
